Visit_ID,Lead_ID,Visit_Date,Sales_Executive_ID,Visit_Rating,Family_Attended,Sample_Flat,Visit_Duration,Booking_Probability
VISIT00065,LEAD00113,2026-12-16,EXEC23,5,Yes,3BHK,134,0.88
VISIT00066,LEAD00113,2026-12-21,EXEC23,5,Yes,3BHK,118,0.97
VISIT00067,LEAD00113,2026-12-31,EXEC23,4,Yes,3BHK,105,0.93
VISIT00068,LEAD00115,2026-08-20,EXEC13,3,Yes,3BHK,132,0.33
VISIT00069,LEAD00118,2024-05-23,EXEC26,2,Yes,3BHK,69,0.26
VISIT00070,LEAD00119,2024-09-26,EXEC01,3,Yes,3BHK,135,0.47
VISIT00071,LEAD00119,2024-11-21,EXEC01,5,Yes,5BHK,149,0.81
VISIT00072,LEAD00119,2024-12-13,EXEC01,5,Yes,4BHK,111,0.95
VISIT00073,LEAD00123,2026-02-22,EXEC14,4,Yes,4BHK,113,0.41
VISIT00074,LEAD00125,2026-07-13,EXEC24,2,Yes,4BHK,107,0.18
VISIT00075,LEAD00127,2026-04-05,EXEC11,4,Yes,3BHK,116,0.48
VISIT00076,LEAD00128,2025-03-06,EXEC13,3,Yes,4BHK,112,0.7
VISIT00077,LEAD00128,2025-04-24,EXEC13,4,Yes,3BHK,90,0.97
VISIT00078,LEAD00129,2026-07-07,EXEC27,2,Yes,3BHK,93,0.24
VISIT00079,LEAD00130,2026-10-22,EXEC14,4,Yes,4BHK,90,0.53
VISIT00080,LEAD00130,2026-12-24,EXEC14,3,No,3BHK,111,0.41
VISIT00081,LEAD00134,2025-01-18,EXEC14,3,Yes,5BHK,99,0.32
VISIT00082,LEAD00137,2025-11-18,EXEC05,2,Yes,4BHK,104,0.23
VISIT00083,LEAD00138,2024-06-09,EXEC17,5,No,3BHK,134,0.54
VISIT00084,LEAD00140,2026-04-26,EXEC20,5,Yes,4BHK,125,0.56
VISIT00085,LEAD00141,2024-04-01,EXEC04,4,Yes,3BHK,112,0.53
VISIT00086,LEAD00141,2024-05-22,EXEC04,4,Yes,3BHK,81,0.57
VISIT00087,LEAD00143,2024-09-22,EXEC24,3,No,3BHK,97,0.49
VISIT00088,LEAD00143,2024-10-13,EXEC24,3,No,3BHK,95,0.49
VISIT00089,LEAD00145,2026-08-11,EXEC18,4,Yes,4BHK,120,0.8
VISIT00090,LEAD00145,2026-09-09,EXEC18,4,Yes,4BHK,116,0.92
VISIT00091,LEAD00145,2026-09-10,EXEC18,4,Yes,3BHK,116,0.97
VISIT00092,LEAD00147,2026-06-28,EXEC25,2,Yes,3BHK,79,0.24
VISIT00093,LEAD00147,2026-08-09,EXEC25,5,Yes,3BHK,99,0.73
VISIT00094,LEAD00149,2025-04-25,EXEC19,5,Yes,3BHK,126,0.58
VISIT00095,LEAD00150,2025-10-02,EXEC08,4,No,3BHK,119,0.5
VISIT00096,LEAD00150,2025-11-06,EXEC08,5,No,3BHK,146,0.62
VISIT00097,LEAD00150,2025-10-25,EXEC08,3,Yes,3BHK,72,0.61
VISIT00098,LEAD00151,2026-07-11,EXEC03,4,Yes,3BHK,105,0.55
VISIT00099,LEAD00153,2026-05-25,EXEC12,3,Yes,4BHK,70,0.38
VISIT00100,LEAD00157,2026-08-22,EXEC08,5,Yes,4BHK,131,0.97
VISIT00101,LEAD00158,2026-04-10,EXEC05,3,Yes,4BHK,131,0.34
VISIT00102,LEAD00160,2026-03-07,EXEC30,5,No,4BHK,117,0.87
VISIT00103,LEAD00164,2025-11-26,EXEC22,3,No,3BHK,118,0.3
VISIT00104,LEAD00165,2024-01-28,EXEC01,5,Yes,5BHK,134,0.92
VISIT00105,LEAD00165,2024-03-12,EXEC01,5,No,3BHK,142,0.91
VISIT00106,LEAD00165,2024-05-18,EXEC01,5,Yes,4BHK,109,0.97
VISIT00107,LEAD00167,2024-12-25,EXEC20,4,No,3BHK,125,0.29
VISIT00108,LEAD00168,2024-06-09,EXEC26,4,Yes,4BHK,82,0.74
VISIT00109,LEAD00168,2024-07-31,EXEC26,5,Yes,4BHK,112,0.97
VISIT00110,LEAD00172,2025-07-24,EXEC14,5,No,4BHK,121,0.91
VISIT00111,LEAD00172,2025-08-14,EXEC14,5,No,5BHK,122,0.87
VISIT00112,LEAD00178,2025-04-21,EXEC24,4,No,4BHK,113,0.73
VISIT00113,LEAD00180,2025-12-29,EXEC17,4,Yes,3BHK,130,0.48
VISIT00114,LEAD00183,2024-01-25,EXEC19,4,No,4BHK,146,0.37
VISIT00115,LEAD00185,2026-12-31,EXEC22,4,No,4BHK,102,0.39
VISIT00116,LEAD00186,2026-12-31,EXEC06,3,No,3BHK,122,0.21
VISIT00117,LEAD00187,2025-03-08,EXEC08,3,No,3BHK,84,0.3
VISIT00118,LEAD00187,2025-05-11,EXEC08,5,No,4BHK,111,0.6
VISIT00119,LEAD00189,2026-10-10,EXEC18,4,Yes,5BHK,116,0.52
VISIT00120,LEAD00191,2026-06-10,EXEC25,3,No,5BHK,106,0.34
VISIT00121,LEAD00191,2026-07-02,EXEC25,4,Yes,3BHK,180,0.64
VISIT00122,LEAD00194,2024-12-21,EXEC26,4,Yes,5BHK,100,0.44
VISIT00123,LEAD00194,2025-01-25,EXEC26,3,No,3BHK,108,0.47
VISIT00124,LEAD00194,2025-03-03,EXEC26,3,No,4BHK,98,0.51
VISIT00125,LEAD00195,2026-08-25,EXEC27,3,Yes,4BHK,113,0.71
VISIT00126,LEAD00196,2025-09-16,EXEC07,4,Yes,4BHK,100,0.47
VISIT00127,LEAD00196,2025-10-13,EXEC07,4,Yes,4BHK,99,0.63
VISIT00128,LEAD00200,2026-01-30,EXEC15,2,No,3BHK,81,0.19
VISIT00129,LEAD00203,2025-12-12,EXEC12,3,No,4BHK,76,0.55
VISIT00130,LEAD00204,2025-08-02,EXEC20,4,No,3BHK,120,0.57
VISIT00131,LEAD00212,2024-05-09,EXEC16,3,Yes,4BHK,103,0.34
VISIT00132,LEAD00215,2024-10-05,EXEC04,3,Yes,3BHK,83,0.39
VISIT00133,LEAD00216,2024-03-14,EXEC25,4,Yes,3BHK,132,0.44
VISIT00134,LEAD00220,2025-10-17,EXEC07,3,Yes,3BHK,107,0.31
VISIT00135,LEAD00221,2026-10-19,EXEC26,5,Yes,3BHK,109,0.57
VISIT00136,LEAD00227,2025-06-19,EXEC26,4,Yes,3BHK,94,0.43
VISIT00137,LEAD00227,2025-07-11,EXEC26,3,No,3BHK,76,0.33
VISIT00138,LEAD00229,2025-02-26,EXEC14,5,Yes,3BHK,88,0.48
VISIT00139,LEAD00232,2026-12-31,EXEC09,4,Yes,4BHK,132,0.47
VISIT00140,LEAD00232,2026-12-31,EXEC09,5,Yes,3BHK,114,0.7
VISIT00141,LEAD00233,2024-03-12,EXEC07,2,Yes,3BHK,92,0.2
VISIT00142,LEAD00234,2024-08-30,EXEC08,5,No,5BHK,120,0.51
VISIT00143,LEAD00235,2026-04-29,EXEC22,4,Yes,3BHK,119,0.5
VISIT00144,LEAD00237,2025-09-30,EXEC28,3,Yes,3BHK,80,0.45
VISIT00145,LEAD00239,2024-07-12,EXEC25,3,Yes,4BHK,117,0.41
VISIT00146,LEAD00239,2024-08-23,EXEC25,4,No,3BHK,95,0.52
VISIT00147,LEAD00242,2025-11-15,EXEC10,4,Yes,4BHK,100,0.83
VISIT00148,LEAD00242,2025-12-30,EXEC10,5,Yes,3BHK,99,0.97
VISIT00149,LEAD00242,2026-02-11,EXEC10,4,Yes,4BHK,85,0.97
VISIT00150,LEAD00246,2025-02-06,EXEC24,2,Yes,3BHK,119,0.18
VISIT00151,LEAD00250,2024-08-24,EXEC30,5,No,5BHK,98,0.55
VISIT00152,LEAD00251,2026-02-07,EXEC02,3,Yes,4BHK,123,0.36
VISIT00153,LEAD00254,2026-12-03,EXEC25,1,No,3BHK,95,0.04
VISIT00154,LEAD00256,2026-12-31,EXEC25,4,No,4BHK,126,0.77
VISIT00155,LEAD00257,2025-09-22,EXEC23,5,Yes,3BHK,139,0.6
VISIT00156,LEAD00262,2025-02-25,EXEC24,4,Yes,3BHK,139,0.55
VISIT00157,LEAD00262,2025-03-28,EXEC24,3,Yes,3BHK,144,0.51
VISIT00158,LEAD00262,2025-06-10,EXEC24,3,Yes,3BHK,93,0.57
VISIT00159,LEAD00263,2025-10-15,EXEC15,4,No,3BHK,107,0.42
VISIT00160,LEAD00263,2025-12-10,EXEC15,4,Yes,4BHK,99,0.43
VISIT00161,LEAD00266,2024-07-26,EXEC11,4,No,3BHK,79,0.38
VISIT00162,LEAD00267,2024-10-13,EXEC15,4,Yes,3BHK,121,0.47
VISIT00163,LEAD00270,2026-12-31,EXEC28,4,No,3BHK,125,0.5
VISIT00164,LEAD00272,2026-02-20,EXEC05,5,Yes,5BHK,136,0.88
VISIT00165,LEAD00272,2026-04-12,EXEC05,4,Yes,4BHK,106,0.86
VISIT00166,LEAD00272,2026-06-08,EXEC05,5,No,3BHK,101,0.97
VISIT00167,LEAD00275,2026-05-06,EXEC02,3,Yes,3BHK,120,0.42
VISIT00168,LEAD00278,2026-02-25,EXEC05,4,No,5BHK,104,0.48
VISIT00169,LEAD00279,2025-07-21,EXEC30,5,Yes,3BHK,82,0.71
VISIT00170,LEAD00279,2025-07-28,EXEC30,3,No,3BHK,89,0.58
VISIT00171,LEAD00279,2025-10-31,EXEC30,4,No,3BHK,78,0.73
VISIT00172,LEAD00280,2026-04-01,EXEC27,4,No,3BHK,144,0.4
VISIT00173,LEAD00280,2026-05-21,EXEC27,4,Yes,3BHK,102,0.54
VISIT00174,LEAD00280,2026-06-03,EXEC27,4,Yes,3BHK,109,0.77
VISIT00175,LEAD00282,2025-08-02,EXEC12,3,No,3BHK,77,0.58
VISIT00176,LEAD00284,2024-03-26,EXEC10,4,Yes,4BHK,112,0.87
VISIT00177,LEAD00284,2024-04-19,EXEC10,5,No,4BHK,112,0.96
VISIT00178,LEAD00285,2025-05-22,EXEC06,4,Yes,4BHK,96,0.52
VISIT00179,LEAD00286,2026-11-03,EXEC26,5,No,4BHK,120,0.67
VISIT00180,LEAD00286,2026-12-09,EXEC26,5,No,3BHK,103,0.74
VISIT00181,LEAD00288,2024-10-04,EXEC26,3,Yes,3BHK,66,0.4
VISIT00182,LEAD00289,2024-02-17,EXEC12,4,Yes,5BHK,119,0.56
VISIT00183,LEAD00291,2024-01-17,EXEC11,2,Yes,3BHK,83,0.23
VISIT00184,LEAD00294,2024-11-13,EXEC09,4,No,3BHK,76,0.47
VISIT00185,LEAD00296,2025-09-14,EXEC02,3,No,4BHK,77,0.16
VISIT00186,LEAD00296,2025-10-16,EXEC02,3,No,4BHK,72,0.29
VISIT00187,LEAD00297,2024-08-14,EXEC30,2,No,3BHK,77,0.14
VISIT00188,LEAD00297,2024-09-24,EXEC30,2,No,3BHK,95,0.27
VISIT00189,LEAD00301,2025-04-29,EXEC22,2,No,4BHK,46,0.14
VISIT00190,LEAD00302,2025-01-15,EXEC11,4,Yes,4BHK,111,0.76
VISIT00191,LEAD00302,2025-02-02,EXEC11,4,Yes,3BHK,82,0.9
VISIT00192,LEAD00306,2024-01-25,EXEC12,3,No,3BHK,111,0.41
VISIT00193,LEAD00306,2024-03-06,EXEC12,2,Yes,3BHK,103,0.32
VISIT00194,LEAD00306,2024-03-09,EXEC12,3,Yes,5BHK,82,0.64
VISIT00195,LEAD00307,2026-02-07,EXEC06,4,Yes,4BHK,110,0.82
VISIT00196,LEAD00308,2025-09-04,EXEC23,2,Yes,3BHK,75,0.26
VISIT00197,LEAD00312,2024-12-10,EXEC09,4,No,3BHK,82,0.35
VISIT00198,LEAD00314,2026-07-19,EXEC30,3,Yes,4BHK,70,0.42
VISIT00199,LEAD00315,2024-12-06,EXEC13,3,No,4BHK,102,0.31
VISIT00200,LEAD00315,2024-12-25,EXEC13,5,Yes,5BHK,139,0.68
VISIT00201,LEAD00315,2025-03-17,EXEC13,3,Yes,3BHK,74,0.52
VISIT00202,LEAD00317,2026-08-03,EXEC22,5,No,5BHK,91,0.9
VISIT00203,LEAD00318,2026-10-11,EXEC20,4,No,3BHK,139,0.77
VISIT00204,LEAD00321,2024-02-07,EXEC13,4,No,3BHK,58,0.5
VISIT00205,LEAD00322,2026-07-10,EXEC21,4,Yes,3BHK,43,0.48
VISIT00206,LEAD00324,2025-10-02,EXEC09,5,No,4BHK,115,0.95
VISIT00207,LEAD00328,2026-12-31,EXEC20,3,No,3BHK,103,0.54
VISIT00208,LEAD00328,2026-12-31,EXEC20,3,Yes,3BHK,97,0.65
VISIT00209,LEAD00333,2025-06-25,EXEC17,3,Yes,4BHK,122,0.56
VISIT00210,LEAD00333,2025-08-30,EXEC17,3,No,3BHK,127,0.61
VISIT00211,LEAD00333,2025-09-28,EXEC17,3,Yes,4BHK,100,0.64
VISIT00212,LEAD00339,2024-07-08,EXEC03,4,No,3BHK,114,0.81
VISIT00213,LEAD00339,2024-07-26,EXEC03,3,Yes,5BHK,98,0.69
VISIT00214,LEAD00339,2024-08-03,EXEC03,4,No,3BHK,115,0.93
VISIT00215,LEAD00341,2025-02-02,EXEC26,4,Yes,3BHK,119,0.82
VISIT00216,LEAD00348,2024-11-17,EXEC03,3,Yes,5BHK,138,0.24
VISIT00217,LEAD00349,2026-09-09,EXEC12,5,Yes,3BHK,113,0.95
VISIT00218,LEAD00349,2026-10-15,EXEC12,4,No,4BHK,115,0.77
VISIT00219,LEAD00350,2024-08-27,EXEC21,4,No,4BHK,106,0.73
VISIT00220,LEAD00350,2024-10-22,EXEC21,5,Yes,5BHK,115,0.97
VISIT00221,LEAD00351,2026-07-26,EXEC15,4,Yes,4BHK,114,0.63
VISIT00222,LEAD00352,2026-10-31,EXEC19,4,No,3BHK,97,0.6
VISIT00223,LEAD00352,2026-11-15,EXEC19,4,No,3BHK,106,0.69
VISIT00224,LEAD00354,2026-12-31,EXEC19,5,No,5BHK,151,0.7
VISIT00225,LEAD00354,2026-12-31,EXEC19,3,Yes,3BHK,92,0.71
VISIT00226,LEAD00358,2026-07-18,EXEC22,5,No,4BHK,107,0.64
VISIT00227,LEAD00364,2024-12-01,EXEC08,4,Yes,3BHK,124,0.51
VISIT00228,LEAD00365,2025-01-25,EXEC04,4,Yes,3BHK,75,0.47
VISIT00229,LEAD00367,2025-10-03,EXEC17,4,No,4BHK,114,0.82
VISIT00230,LEAD00367,2025-11-16,EXEC17,5,Yes,3BHK,119,0.97
VISIT00231,LEAD00370,2026-02-10,EXEC16,4,Yes,3BHK,132,0.41
VISIT00232,LEAD00371,2024-01-22,EXEC04,4,Yes,4BHK,82,0.57
VISIT00233,LEAD00373,2026-06-30,EXEC10,5,No,4BHK,81,0.6
VISIT00234,LEAD00373,2026-08-07,EXEC10,4,Yes,3BHK,103,0.59
VISIT00235,LEAD00377,2026-12-28,EXEC20,3,No,4BHK,141,0.26
VISIT00236,LEAD00381,2026-10-28,EXEC30,4,No,3BHK,110,0.48
VISIT00237,LEAD00385,2025-06-16,EXEC26,3,No,5BHK,66,0.53
VISIT00238,LEAD00385,2025-07-21,EXEC26,4,Yes,3BHK,138,0.7
VISIT00239,LEAD00385,2025-10-05,EXEC26,4,No,3BHK,114,0.83
VISIT00240,LEAD00388,2026-05-04,EXEC16,5,Yes,3BHK,116,0.81
VISIT00241,LEAD00389,2026-12-31,EXEC21,4,No,3BHK,117,0.38
VISIT00242,LEAD00391,2026-11-08,EXEC24,4,Yes,3BHK,101,0.4
VISIT00243,LEAD00393,2025-06-12,EXEC30,3,No,4BHK,105,0.33
VISIT00244,LEAD00394,2024-10-31,EXEC13,2,Yes,3BHK,97,0.22
VISIT00245,LEAD00396,2025-06-15,EXEC21,3,Yes,3BHK,131,0.32
VISIT00246,LEAD00397,2025-11-23,EXEC16,4,Yes,3BHK,111,0.66
VISIT00247,LEAD00400,2024-12-25,EXEC13,3,No,3BHK,93,0.37
VISIT00248,LEAD00407,2025-09-10,EXEC24,2,Yes,4BHK,123,0.19
VISIT00249,LEAD00412,2025-09-02,EXEC05,3,Yes,3BHK,105,0.33
VISIT00250,LEAD00413,2026-05-11,EXEC29,5,Yes,4BHK,90,0.56
VISIT00251,LEAD00413,2026-05-22,EXEC29,4,No,3BHK,142,0.57
VISIT00252,LEAD00415,2025-07-31,EXEC19,4,Yes,3BHK,115,0.45
VISIT00253,LEAD00416,2025-03-01,EXEC15,3,Yes,3BHK,94,0.34
VISIT00254,LEAD00417,2025-03-13,EXEC16,4,No,3BHK,113,0.65
VISIT00255,LEAD00417,2025-03-26,EXEC16,3,Yes,3BHK,107,0.66
VISIT00256,LEAD00417,2025-06-02,EXEC16,4,No,3BHK,67,0.72
VISIT00257,LEAD00418,2026-12-31,EXEC02,3,Yes,3BHK,96,0.67
VISIT00258,LEAD00418,2026-12-31,EXEC02,5,Yes,3BHK,111,0.87
VISIT00259,LEAD00421,2025-10-25,EXEC09,3,No,3BHK,128,0.35
VISIT00260,LEAD00422,2026-08-01,EXEC25,5,Yes,4BHK,164,0.96
VISIT00261,LEAD00424,2026-03-19,EXEC09,4,Yes,4BHK,121,0.4
VISIT00262,LEAD00430,2026-12-31,EXEC09,5,Yes,5BHK,103,0.56
VISIT00263,LEAD00430,2026-12-31,EXEC09,3,Yes,4BHK,105,0.55
VISIT00264,LEAD00430,2026-12-31,EXEC09,4,Yes,5BHK,100,0.58
VISIT00265,LEAD00435,2026-12-31,EXEC18,4,No,4BHK,86,0.75
VISIT00266,LEAD00438,2026-05-03,EXEC15,4,No,3BHK,106,0.64
VISIT00267,LEAD00438,2026-06-30,EXEC15,5,Yes,3BHK,120,0.84
VISIT00268,LEAD00440,2025-04-05,EXEC29,4,No,3BHK,101,0.61
VISIT00269,LEAD00440,2025-05-30,EXEC29,3,Yes,4BHK,100,0.67
VISIT00270,LEAD00441,2025-04-04,EXEC17,4,Yes,4BHK,114,0.83
VISIT00271,LEAD00441,2025-05-10,EXEC17,4,No,4BHK,129,0.89
VISIT00272,LEAD00441,2025-06-14,EXEC17,4,No,3BHK,99,0.91
VISIT00273,LEAD00442,2026-11-07,EXEC14,5,Yes,4BHK,143,0.51
VISIT00274,LEAD00442,2026-12-16,EXEC14,3,Yes,4BHK,80,0.46
VISIT00275,LEAD00444,2024-10-05,EXEC13,5,Yes,3BHK,111,0.84
VISIT00276,LEAD00450,2026-05-07,EXEC02,5,Yes,4BHK,126,0.97
VISIT00277,LEAD00452,2025-06-05,EXEC10,4,Yes,3BHK,135,0.69
VISIT00278,LEAD00452,2025-06-16,EXEC10,4,No,3BHK,137,0.71
VISIT00279,LEAD00452,2025-07-09,EXEC10,5,No,4BHK,111,0.97
VISIT00280,LEAD00454,2024-11-26,EXEC25,2,No,3BHK,70,0.18
VISIT00281,LEAD00455,2025-09-14,EXEC21,4,Yes,3BHK,120,0.4
VISIT00282,LEAD00456,2025-01-08,EXEC08,5,No,4BHK,84,0.88
VISIT00283,LEAD00457,2025-07-30,EXEC22,4,No,3BHK,104,0.45
VISIT00284,LEAD00461,2024-05-14,EXEC04,4,Yes,3BHK,62,0.43
VISIT00285,LEAD00467,2025-06-26,EXEC09,2,Yes,3BHK,94,0.31
VISIT00286,LEAD00469,2026-06-02,EXEC16,4,No,4BHK,110,0.54
VISIT00287,LEAD00469,2026-08-04,EXEC16,4,Yes,3BHK,97,0.61
VISIT00288,LEAD00473,2025-11-25,EXEC17,4,Yes,3BHK,117,0.45
VISIT00289,LEAD00474,2026-10-25,EXEC09,4,Yes,3BHK,123,0.49
VISIT00290,LEAD00480,2025-04-11,EXEC02,5,No,4BHK,157,0.83
VISIT00291,LEAD00480,2025-05-21,EXEC02,5,Yes,4BHK,114,0.97
VISIT00292,LEAD00480,2025-06-03,EXEC02,5,Yes,4BHK,97,0.97
VISIT00293,LEAD00483,2026-12-05,EXEC11,4,Yes,3BHK,74,0.46
VISIT00294,LEAD00484,2025-01-17,EXEC25,3,No,3BHK,100,0.52
VISIT00295,LEAD00484,2025-03-03,EXEC25,4,Yes,3BHK,127,0.71
VISIT00296,LEAD00485,2025-09-08,EXEC26,4,Yes,4BHK,116,0.54
VISIT00297,LEAD00485,2025-10-30,EXEC26,4,No,4BHK,99,0.52
VISIT00298,LEAD00486,2024-12-17,EXEC19,3,Yes,3BHK,98,0.29
VISIT00299,LEAD00489,2026-03-13,EXEC10,3,Yes,3BHK,97,0.35
VISIT00300,LEAD00492,2026-05-23,EXEC11,3,No,3BHK,71,0.35
VISIT00301,LEAD00495,2026-10-08,EXEC24,4,Yes,3BHK,95,0.48
VISIT00302,LEAD00500,2026-12-27,EXEC15,3,Yes,3BHK,94,0.34
VISIT00303,LEAD00503,2025-12-04,EXEC23,3,Yes,3BHK,104,0.28
VISIT00304,LEAD00504,2026-05-17,EXEC09,4,Yes,3BHK,109,0.5
VISIT00305,LEAD00507,2026-02-09,EXEC24,5,Yes,3BHK,120,0.76
VISIT00306,LEAD00512,2026-05-01,EXEC28,3,Yes,4BHK,87,0.29
VISIT00307,LEAD00513,2026-01-28,EXEC20,3,Yes,4BHK,99,0.55
VISIT00308,LEAD00513,2026-03-01,EXEC20,5,Yes,3BHK,90,0.96
VISIT00309,LEAD00518,2024-06-08,EXEC17,4,No,3BHK,115,0.47
VISIT00310,LEAD00518,2024-08-11,EXEC17,3,Yes,4BHK,86,0.43
VISIT00311,LEAD00519,2025-11-26,EXEC01,5,No,4BHK,132,0.87
VISIT00312,LEAD00519,2025-12-10,EXEC01,4,Yes,5BHK,112,0.97
VISIT00313,LEAD00519,2026-01-29,EXEC01,4,Yes,4BHK,100,0.97
VISIT00314,LEAD00520,2024-02-04,EXEC09,4,No,4BHK,114,0.64
VISIT00315,LEAD00529,2025-10-06,EXEC05,4,Yes,3BHK,109,0.43
VISIT00316,LEAD00529,2025-12-12,EXEC05,4,Yes,4BHK,123,0.54
VISIT00317,LEAD00530,2026-06-20,EXEC07,5,No,3BHK,145,0.45
VISIT00318,LEAD00531,2025-11-20,EXEC13,3,Yes,3BHK,69,0.46
VISIT00319,LEAD00533,2025-05-15,EXEC22,5,No,4BHK,95,0.92
VISIT00320,LEAD00535,2026-05-16,EXEC06,4,Yes,5BHK,73,0.55
