Visit_ID,Competitor,Visit_Date,Price_Score,Sales_Score,Amenities_Score,Trust_Score,Overall_Rating
CVISIT00248,Sobha Aurum,2026-02-18,4.9,5.4,9.3,8.9,7.2
CVISIT00249,Prestige,2024-03-22,5.7,8.0,7.6,6.5,6.9
CVISIT00250,Mahagun Manorial,2025-02-28,8.0,4.9,6.1,6.2,5.9
CVISIT00251,Prestige,2024-02-11,6.3,7.5,8.9,7.6,7.8
CVISIT00252,Prestige,2024-12-09,4.6,6.8,8.6,7.9,6.4
CVISIT00253,Sobha Aurum,2025-11-15,7.1,4.4,7.7,6.6,6.9
CVISIT00254,Sobha Aurum,2026-03-25,6.5,7.1,7.7,5.9,6.5
CVISIT00255,Mahagun Manorial,2025-12-27,9.8,5.8,6.8,6.9,7.0
CVISIT00256,Sobha Aurum,2026-10-22,4.1,9.1,7.4,5.4,6.5
CVISIT00257,Prestige,2025-03-10,6.5,7.1,8.1,8.6,7.6
CVISIT00258,Sobha Aurum,2024-10-05,6.3,4.3,8.6,6.8,6.2
CVISIT00259,Sobha Aurum,2024-10-06,6.8,6.4,7.3,7.6,7.5
CVISIT00260,Sobha Aurum,2026-03-14,7.5,7.4,8.6,7.2,7.0
CVISIT00261,Prestige,2025-08-04,6.5,8.6,7.7,8.0,7.7
CVISIT00262,Sobha Aurum,2026-12-23,6.7,5.8,8.4,6.8,7.5
CVISIT00263,Sobha Aurum,2024-04-25,5.4,6.4,7.5,7.2,7.2
CVISIT00264,Prestige,2026-07-26,6.4,7.7,8.6,7.1,7.2
CVISIT00265,Sobha Aurum,2026-04-03,4.8,5.5,7.6,6.5,6.4
CVISIT00266,Mahagun Manorial,2026-12-29,7.5,5.8,6.8,4.9,6.1
CVISIT00267,Prestige,2025-08-30,5.8,7.2,7.8,8.4,7.9
CVISIT00268,Sobha Aurum,2024-08-16,7.0,7.3,7.2,8.5,7.5
CVISIT00269,Prestige,2025-03-24,5.0,7.7,7.9,8.7,7.6
CVISIT00270,Mahagun Manorial,2025-06-21,7.7,6.9,6.4,5.8,6.8
CVISIT00271,Prestige,2024-12-09,5.8,9.1,8.5,7.7,7.8
CVISIT00272,Mahagun Manorial,2026-11-21,6.7,4.9,5.2,7.0,5.9
CVISIT00273,Mahagun Manorial,2024-11-20,7.1,6.4,5.3,4.9,6.4
CVISIT00274,Prestige,2026-06-21,5.3,8.7,8.8,9.1,8.0
CVISIT00275,Sobha Aurum,2026-10-01,8.2,9.4,7.6,8.1,8.3
CVISIT00276,Sobha Aurum,2024-10-09,6.6,6.7,8.1,6.2,7.1
CVISIT00277,Mahagun Manorial,2026-02-19,9.3,6.0,7.1,5.3,6.8
CVISIT00278,Mahagun Manorial,2025-06-19,6.7,5.2,6.0,5.9,5.8
CVISIT00279,Prestige,2024-07-24,5.1,8.8,8.9,10.0,8.5
CVISIT00280,Prestige,2026-08-21,6.5,10.0,8.5,8.5,8.0
CVISIT00281,Mahagun Manorial,2026-08-14,5.1,6.2,5.0,6.8,6.1
CVISIT00282,Mahagun Manorial,2025-09-15,9.1,7.0,6.4,5.6,6.6
CVISIT00283,Prestige,2025-10-27,5.1,8.6,7.6,9.5,8.0
CVISIT00284,Sobha Aurum,2025-01-16,6.4,7.0,8.6,7.4,8.0
CVISIT00285,Mahagun Manorial,2025-09-17,6.4,6.6,5.3,8.2,7.2
CVISIT00286,Prestige,2025-04-15,5.2,7.5,7.8,9.0,7.3
CVISIT00287,Prestige,2024-05-16,6.6,8.2,7.1,8.5,7.9
CVISIT00288,Prestige,2026-06-19,5.2,9.7,7.8,7.5,8.1
CVISIT00289,Sobha Aurum,2024-01-23,4.8,7.4,9.7,7.8,7.2
CVISIT00290,Prestige,2026-12-05,7.5,8.5,6.3,9.2,8.8
CVISIT00291,Sobha Aurum,2026-05-25,7.6,8.6,8.4,8.5,8.1
CVISIT00292,Sobha Aurum,2026-12-10,7.6,5.5,6.7,5.6,6.8
CVISIT00293,Prestige,2025-07-03,6.9,8.0,8.6,9.6,8.4
CVISIT00294,Sobha Aurum,2025-11-28,6.4,6.8,8.3,6.5,7.0
CVISIT00295,Mahagun Manorial,2024-10-30,7.5,6.9,7.5,7.7,7.3
CVISIT00296,Sobha Aurum,2024-02-27,6.8,6.3,10.0,8.0,8.0
CVISIT00297,Mahagun Manorial,2024-09-22,7.1,5.9,5.6,6.7,6.1
CVISIT00298,Sobha Aurum,2024-05-02,8.2,7.4,9.0,6.5,7.9
CVISIT00299,Sobha Aurum,2025-12-21,5.5,6.6,7.8,8.1,6.9
CVISIT00300,Mahagun Manorial,2025-11-17,7.0,5.7,4.4,5.8,6.1
CVISIT00301,Mahagun Manorial,2025-08-07,7.8,5.7,6.7,6.1,6.8
CVISIT00302,Prestige,2024-10-13,5.2,7.8,8.5,8.1,7.4
CVISIT00303,Prestige,2024-01-16,5.5,7.2,8.5,6.9,7.2
CVISIT00304,Sobha Aurum,2024-09-27,8.1,7.2,7.1,8.1,7.3
CVISIT00305,Sobha Aurum,2026-05-11,6.4,7.6,7.8,7.8,8.2
CVISIT00306,Prestige,2026-12-09,4.6,9.7,7.6,9.4,7.8
CVISIT00307,Mahagun Manorial,2024-10-11,9.8,5.3,6.0,7.3,6.9
CVISIT00308,Sobha Aurum,2025-04-12,5.8,6.1,8.1,7.8,6.8
CVISIT00309,Mahagun Manorial,2024-10-17,7.4,5.0,6.7,5.6,5.7
CVISIT00310,Mahagun Manorial,2024-04-13,6.1,5.2,6.3,5.7,5.1
CVISIT00311,Prestige,2026-11-13,7.0,10.0,8.1,7.8,8.7
CVISIT00312,Prestige,2025-03-14,6.9,8.8,6.4,9.7,8.3
CVISIT00313,Prestige,2024-07-23,5.5,7.0,6.7,7.4,7.3
CVISIT00314,Mahagun Manorial,2026-04-24,8.4,6.4,5.4,7.2,6.9
CVISIT00315,Prestige,2026-07-20,5.1,8.0,7.5,10.0,7.9
CVISIT00316,Sobha Aurum,2024-07-19,6.1,7.2,7.2,7.3,6.9
CVISIT00317,Mahagun Manorial,2024-11-13,8.9,5.3,6.0,4.8,6.3
CVISIT00318,Sobha Aurum,2024-02-09,5.7,7.6,9.3,7.5,7.4
CVISIT00319,Sobha Aurum,2025-02-12,7.3,7.4,8.9,5.9,7.5
CVISIT00320,Prestige,2025-02-18,6.9,6.6,7.6,9.3,7.5
CVISIT00321,Sobha Aurum,2026-02-16,4.4,7.5,8.9,9.9,7.9
CVISIT00322,Sobha Aurum,2026-07-07,6.0,8.2,8.8,8.3,8.3
CVISIT00323,Sobha Aurum,2026-09-27,6.3,7.3,6.2,7.0,6.3
