Lead_ID,Customer_ID,Lead_Date,Lead_Source,Campaign_ID,Project,Lead_Status,Interest_Score,Budget_Fit,Sales_Executive_ID
LEAD00070,CUST00060,2024-06-24,Channel Partner,,Godrej Riverine,Qualified,4,Partial,EXEC03
LEAD00071,CUST00060,2024-12-31,99acres,,Godrej Riverine,Contacted,5,Partial,EXEC13
LEAD00072,CUST00061,2026-07-16,Instagram,CAMP067,Godrej Riverine,Not Interested / Lost,2,Partial,EXEC03
LEAD00073,CUST00062,2025-01-29,Instagram,CAMP014,Godrej Riverine,Site Visit Scheduled,5,Yes,EXEC19
LEAD00074,CUST00062,2025-02-28,Referral,,Godrej Riverine,Contacted,2,Yes,EXEC19
LEAD00075,CUST00063,2024-05-10,Walk-In,,Godrej Riverine,Not Interested / Lost,5,No,EXEC16
LEAD00076,CUST00064,2024-08-18,Google Ads,CAMP022,Godrej Riverine,Qualified,5,Partial,EXEC05
LEAD00077,CUST00065,2024-06-15,Housing.com,,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC07
LEAD00078,CUST00066,2024-07-07,Channel Partner,,Godrej Riverine,Converted,7,Yes,EXEC01
LEAD00079,CUST00067,2025-04-04,Metro Branding,CAMP111,Godrej Riverine,Contacted,6,Partial,EXEC01
LEAD00080,CUST00068,2026-09-29,LinkedIn,CAMP062,Godrej Riverine,New,6,Yes,EXEC28
LEAD00081,CUST00068,2026-12-31,Metro Branding,CAMP117,Godrej Riverine,Converted,7,Yes,EXEC01
LEAD00082,CUST00069,2026-12-05,Google Search,,Godrej Riverine,Not Interested / Lost,4,Partial,EXEC13
LEAD00083,CUST00070,2024-09-12,Walk-In,,Godrej Riverine,Qualified,5,No,EXEC25
LEAD00084,CUST00071,2024-08-27,Facebook,CAMP048,Godrej Riverine,Contacted,3,No,EXEC03
LEAD00085,CUST00072,2024-09-30,Metro Branding,CAMP105,Godrej Riverine,Not Interested / Lost,6,No,EXEC26
LEAD00086,CUST00073,2026-01-19,Referral,,Godrej Riverine,Not Interested / Lost,1,Partial,EXEC02
LEAD00087,CUST00074,2024-07-02,Google Ads,CAMP129,Godrej Riverine,Qualified,2,Yes,EXEC23
LEAD00088,CUST00075,2025-01-10,Channel Partner,,Godrej Riverine,Not Interested / Lost,5,No,EXEC15
LEAD00089,CUST00076,2024-10-09,Newspaper Insert,CAMP085,Godrej Riverine,Qualified,7,Partial,EXEC07
LEAD00090,CUST00077,2026-12-21,Facebook,CAMP083,Godrej Riverine,Not Interested / Lost,3,Yes,EXEC14
LEAD00091,CUST00078,2024-11-12,Channel Partner,,Godrej Riverine,Converted,10,Partial,EXEC17
LEAD00092,CUST00078,2025-03-14,99acres,,Godrej Riverine,Contacted,4,No,EXEC08
LEAD00093,CUST00078,2025-05-24,99acres,,Godrej Riverine,Site Visit Scheduled,1,Partial,EXEC20
LEAD00094,CUST00078,2025-09-26,Google Ads,CAMP121,Godrej Riverine,Site Visit Scheduled,6,No,EXEC30
LEAD00095,CUST00079,2026-01-11,Google Ads,CAMP036,Godrej Riverine,Contacted,6,Yes,EXEC29
LEAD00096,CUST00079,2026-05-05,Housing.com,,Godrej Riverine,New,5,Yes,EXEC24
LEAD00097,CUST00079,2026-12-31,Walk-In,,Godrej Riverine,New,3,Yes,EXEC21
LEAD00098,CUST00080,2026-01-14,99acres,,Godrej Riverine,Contacted,2,Yes,EXEC22
LEAD00099,CUST00081,2024-08-06,MagicBricks,,Godrej Riverine,New,6,Partial,EXEC01
LEAD00100,CUST00082,2024-11-13,Instagram,CAMP027,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC22
LEAD00101,CUST00083,2025-10-07,Walk-In,,Godrej Riverine,Converted,8,No,EXEC16
LEAD00102,CUST00083,2026-05-09,99acres,,Godrej Riverine,Qualified,6,Yes,EXEC13
LEAD00103,CUST00084,2026-05-05,Walk-In,,Godrej Riverine,New,4,Yes,EXEC28
LEAD00104,CUST00084,2026-09-24,Facebook,CAMP061,Godrej Riverine,Negotiation,7,Partial,EXEC14
LEAD00105,CUST00085,2025-03-06,Channel Partner,,Godrej Riverine,Site Visit Scheduled,5,Partial,EXEC20
LEAD00106,CUST00085,2025-10-01,Newspaper Insert,CAMP150,Godrej Riverine,Converted,8,Yes,EXEC22
LEAD00107,CUST00085,2026-01-01,Instagram,CAMP005,Godrej Riverine,Contacted,7,Partial,EXEC19
LEAD00108,CUST00086,2024-08-23,MagicBricks,,Godrej Riverine,Converted,7,Partial,EXEC07
LEAD00109,CUST00087,2026-06-07,Google Search,,Godrej Riverine,Qualified,6,Yes,EXEC11
LEAD00110,CUST00088,2024-05-29,Housing.com,,Godrej Riverine,Negotiation,7,Yes,EXEC15
LEAD00111,CUST00089,2026-08-27,Google Search,,Godrej Riverine,Not Interested / Lost,6,Yes,EXEC22
LEAD00112,CUST00090,2024-11-05,Housing.com,,Godrej Riverine,Contacted,3,Yes,EXEC16
LEAD00113,CUST00091,2026-11-27,Housing.com,,Godrej Riverine,Converted,8,Yes,EXEC23
LEAD00114,CUST00092,2025-08-18,Walk-In,,Godrej Riverine,New,3,Yes,EXEC09
LEAD00115,CUST00093,2026-08-12,Google Ads,CAMP099,Godrej Riverine,Qualified,4,No,EXEC13
LEAD00116,CUST00093,2026-12-31,Google Search,,Godrej Riverine,Not Interested / Lost,4,Partial,EXEC26
LEAD00117,CUST00093,2026-12-31,Referral,,Godrej Riverine,Contacted,1,Partial,EXEC12
LEAD00118,CUST00094,2024-05-19,Referral,,Godrej Riverine,Qualified,7,Partial,EXEC26
LEAD00119,CUST00094,2024-09-07,99acres,,Godrej Riverine,Negotiation,6,Yes,EXEC01
LEAD00120,CUST00094,2024-10-04,Instagram,CAMP119,Godrej Riverine,New,5,Partial,EXEC29
LEAD00121,CUST00095,2024-12-17,Google Search,,Godrej Riverine,Contacted,3,Partial,EXEC10
LEAD00122,CUST00096,2025-10-31,Google Search,,Godrej Riverine,Contacted,5,Yes,EXEC12
LEAD00123,CUST00096,2026-02-12,Google Ads,CAMP097,Godrej Riverine,Qualified,4,No,EXEC14
LEAD00124,CUST00096,2026-03-13,99acres,,Godrej Riverine,Not Interested / Lost,7,Partial,EXEC26
LEAD00125,CUST00096,2026-07-03,Metro Branding,CAMP123,Godrej Riverine,Qualified,6,Partial,EXEC24
LEAD00126,CUST00097,2026-05-02,MagicBricks,,Godrej Riverine,Contacted,3,Yes,EXEC27
LEAD00127,CUST00098,2026-03-27,Housing.com,,Godrej Riverine,Qualified,2,No,EXEC11
LEAD00128,CUST00099,2025-02-23,Facebook,CAMP016,Godrej Riverine,Converted,8,Yes,EXEC13
LEAD00129,CUST00100,2026-06-18,Facebook,CAMP026,Godrej Riverine,Qualified,4,Yes,EXEC27
LEAD00130,CUST00100,2026-10-18,Channel Partner,,Godrej Riverine,Qualified,3,Partial,EXEC14
LEAD00131,CUST00101,2025-04-28,MagicBricks,,Godrej Riverine,Not Interested / Lost,3,Partial,EXEC01
LEAD00132,CUST00102,2024-03-16,LinkedIn,CAMP074,Godrej Riverine,New,2,Partial,EXEC26
LEAD00133,CUST00102,2024-08-03,Facebook,CAMP048,Godrej Riverine,Contacted,4,No,EXEC23
LEAD00134,CUST00103,2025-01-12,Metro Branding,CAMP096,Godrej Riverine,Qualified,5,Partial,EXEC14
LEAD00135,CUST00103,2025-03-10,Channel Partner,,Godrej Riverine,New,5,Yes,EXEC07
LEAD00136,CUST00103,2025-04-27,Google Search,,Godrej Riverine,Not Interested / Lost,4,Partial,EXEC22
LEAD00137,CUST00103,2025-11-04,Google Ads,CAMP084,Godrej Riverine,Qualified,4,Yes,EXEC05
LEAD00138,CUST00104,2024-06-02,Channel Partner,,Godrej Riverine,Qualified,9,Partial,EXEC17
LEAD00139,CUST00104,2024-06-28,Instagram,CAMP089,Godrej Riverine,New,7,Yes,EXEC09
LEAD00140,CUST00105,2026-04-21,Newspaper Insert,CAMP114,Godrej Riverine,Qualified,6,No,EXEC20
LEAD00141,CUST00106,2024-03-19,Instagram,CAMP119,Godrej Riverine,Site Visit Scheduled,4,Yes,EXEC04
LEAD00142,CUST00106,2024-05-10,Facebook,CAMP060,Godrej Riverine,Contacted,7,Partial,EXEC10
LEAD00143,CUST00106,2024-09-11,Metro Branding,CAMP144,Godrej Riverine,Negotiation,3,No,EXEC24
LEAD00144,CUST00107,2026-05-22,Housing.com,,Godrej Riverine,Contacted,2,Partial,EXEC27
LEAD00145,CUST00108,2026-07-29,Channel Partner,,Godrej Riverine,Converted,7,Yes,EXEC18
LEAD00146,CUST00109,2026-08-18,Housing.com,,Godrej Riverine,Not Interested / Lost,4,Partial,EXEC07
LEAD00147,CUST00110,2026-06-11,Google Search,,Godrej Riverine,Site Visit Scheduled,6,Partial,EXEC25
LEAD00148,CUST00111,2024-09-30,Google Ads,CAMP080,Godrej Riverine,Not Interested / Lost,6,Yes,EXEC20
LEAD00149,CUST00112,2025-04-01,Google Ads,CAMP075,Godrej Riverine,Qualified,9,No,EXEC19
LEAD00150,CUST00112,2025-09-14,Instagram,CAMP088,Godrej Riverine,Site Visit Scheduled,8,No,EXEC08
LEAD00151,CUST00112,2026-06-21,LinkedIn,CAMP102,Godrej Riverine,Site Visit Scheduled,8,Partial,EXEC03
LEAD00152,CUST00112,2026-12-08,Instagram,CAMP095,Godrej Riverine,Contacted,6,Yes,EXEC30
LEAD00153,CUST00113,2026-05-04,Facebook,CAMP001,Godrej Riverine,Qualified,4,Partial,EXEC12
LEAD00154,CUST00114,2026-06-26,Google Ads,CAMP118,Godrej Riverine,Contacted,4,Partial,EXEC30
LEAD00155,CUST00115,2026-10-25,Instagram,CAMP098,Godrej Riverine,Contacted,3,Partial,EXEC04
LEAD00156,CUST00116,2026-07-11,Facebook,CAMP142,Godrej Riverine,New,2,Partial,EXEC02
LEAD00157,CUST00116,2026-08-10,Housing.com,,Godrej Riverine,Converted,7,No,EXEC08
LEAD00158,CUST00117,2026-04-03,Facebook,CAMP049,Godrej Riverine,Qualified,5,No,EXEC05
LEAD00159,CUST00118,2025-07-01,Instagram,CAMP143,Godrej Riverine,New,4,Partial,EXEC23
LEAD00160,CUST00119,2026-02-16,99acres,,Godrej Riverine,Converted,8,Partial,EXEC30
LEAD00161,CUST00120,2026-04-12,Referral,,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC18
LEAD00162,CUST00121,2026-10-25,Google Search,,Godrej Riverine,New,4,Partial,EXEC24
LEAD00163,CUST00122,2025-07-08,Facebook,CAMP043,Godrej Riverine,New,7,Yes,EXEC19
LEAD00164,CUST00122,2025-11-03,MagicBricks,,Godrej Riverine,Qualified,4,Partial,EXEC22
LEAD00165,CUST00123,2024-01-25,Facebook,CAMP094,Godrej Riverine,Converted,10,Partial,EXEC01
LEAD00166,CUST00123,2024-03-25,Housing.com,,Godrej Riverine,New,2,No,EXEC10
LEAD00167,CUST00123,2024-12-13,LinkedIn,CAMP071,Godrej Riverine,Qualified,2,No,EXEC20
LEAD00168,CUST00124,2024-06-03,Walk-In,,Godrej Riverine,Converted,7,Yes,EXEC26
LEAD00169,CUST00124,2024-07-28,Housing.com,,Godrej Riverine,Not Interested / Lost,3,Yes,EXEC25
LEAD00170,CUST00124,2024-11-03,Google Search,,Godrej Riverine,Not Interested / Lost,3,Yes,EXEC22
LEAD00171,CUST00125,2025-01-21,MagicBricks,,Godrej Riverine,Contacted,3,No,EXEC22
LEAD00172,CUST00125,2025-07-03,Newspaper Insert,CAMP078,Godrej Riverine,Converted,8,Partial,EXEC14
LEAD00173,CUST00126,2025-08-06,Housing.com,,Godrej Riverine,Contacted,2,Yes,EXEC24
LEAD00174,CUST00127,2025-07-03,Google Ads,CAMP068,Godrej Riverine,Not Interested / Lost,5,Partial,EXEC28
LEAD00175,CUST00127,2025-11-29,Instagram,CAMP010,Godrej Riverine,Contacted,6,No,EXEC20
LEAD00176,CUST00127,2026-06-24,Google Search,,Godrej Riverine,New,1,Yes,EXEC21
LEAD00177,CUST00128,2026-03-14,Referral,,Godrej Riverine,Not Interested / Lost,4,No,EXEC17
LEAD00178,CUST00129,2025-03-31,Walk-In,,Godrej Riverine,Converted,9,Yes,EXEC24
LEAD00179,CUST00129,2026-01-15,Facebook,CAMP079,Godrej Riverine,Contacted,6,Yes,EXEC28
LEAD00180,CUST00130,2025-12-14,Walk-In,,Godrej Riverine,Qualified,6,Partial,EXEC17
LEAD00181,CUST00131,2024-12-20,LinkedIn,CAMP086,Godrej Riverine,Contacted,4,Yes,EXEC28
LEAD00182,CUST00132,2026-09-17,Google Search,,Godrej Riverine,Not Interested / Lost,6,Partial,EXEC12
LEAD00183,CUST00133,2024-01-04,Google Ads,CAMP053,Godrej Riverine,Qualified,4,Yes,EXEC19
LEAD00184,CUST00134,2026-10-16,Google Search,,Godrej Riverine,Contacted,2,Yes,EXEC22
LEAD00185,CUST00134,2026-12-31,Google Search,,Godrej Riverine,Qualified,6,Yes,EXEC22
LEAD00186,CUST00134,2026-12-31,99acres,,Godrej Riverine,Qualified,2,Yes,EXEC06
LEAD00187,CUST00135,2025-03-05,99acres,,Godrej Riverine,Qualified,10,No,EXEC08
LEAD00188,CUST00135,2025-07-31,Housing.com,,Godrej Riverine,Not Interested / Lost,7,Yes,EXEC27
LEAD00189,CUST00136,2026-09-20,Facebook,CAMP031,Godrej Riverine,Qualified,4,Partial,EXEC18
LEAD00190,CUST00137,2024-07-13,99acres,,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC03
LEAD00191,CUST00138,2026-05-25,Instagram,CAMP130,Godrej Riverine,Qualified,6,Partial,EXEC25
LEAD00192,CUST00138,2026-08-24,Google Search,,Godrej Riverine,Not Interested / Lost,2,Partial,EXEC23
LEAD00193,CUST00138,2026-10-09,Referral,,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC28
LEAD00194,CUST00139,2024-12-04,99acres,,Godrej Riverine,Site Visit Scheduled,5,No,EXEC26
LEAD00195,CUST00140,2026-08-01,Google Search,,Godrej Riverine,Converted,8,Yes,EXEC27
LEAD00196,CUST00141,2025-09-12,Channel Partner,,Godrej Riverine,Site Visit Scheduled,8,Yes,EXEC07
LEAD00197,CUST00142,2025-07-11,Google Search,,Godrej Riverine,New,4,Yes,EXEC22
LEAD00198,CUST00143,2026-02-25,Instagram,CAMP065,Godrej Riverine,Contacted,7,Yes,EXEC29
LEAD00199,CUST00144,2025-10-09,Walk-In,,Godrej Riverine,Contacted,6,Partial,EXEC17
LEAD00200,CUST00144,2026-01-06,Facebook,CAMP079,Godrej Riverine,Site Visit Scheduled,5,No,EXEC15
LEAD00201,CUST00145,2025-08-18,Instagram,CAMP037,Godrej Riverine,Contacted,6,Partial,EXEC14
LEAD00202,CUST00146,2025-02-19,Google Search,,Godrej Riverine,Not Interested / Lost,6,Partial,EXEC21
LEAD00203,CUST00146,2025-11-28,LinkedIn,CAMP086,Godrej Riverine,Negotiation,5,Yes,EXEC12
LEAD00204,CUST00147,2025-07-10,Referral,,Godrej Riverine,Site Visit Scheduled,4,Yes,EXEC20
LEAD00205,CUST00148,2024-10-28,Metro Branding,CAMP018,Godrej Riverine,Contacted,2,Yes,EXEC22
LEAD00206,CUST00149,2024-01-06,Facebook,CAMP049,Godrej Riverine,New,3,Partial,EXEC03
LEAD00207,CUST00150,2026-07-12,Instagram,CAMP067,Godrej Riverine,Contacted,7,Partial,EXEC08
LEAD00208,CUST00150,2026-12-05,Google Search,,Godrej Riverine,Not Interested / Lost,8,No,EXEC15
LEAD00209,CUST00151,2024-04-15,Google Search,,Godrej Riverine,New,1,Yes,EXEC10
LEAD00210,CUST00152,2026-08-31,Facebook,CAMP031,Godrej Riverine,Not Interested / Lost,3,Yes,EXEC19
LEAD00211,CUST00153,2024-06-13,Channel Partner,,Godrej Riverine,Contacted,1,Partial,EXEC17
LEAD00212,CUST00154,2024-04-17,LinkedIn,CAMP074,Godrej Riverine,Qualified,2,Partial,EXEC16
LEAD00213,CUST00154,2024-11-04,Google Ads,CAMP013,Godrej Riverine,Contacted,4,Yes,EXEC11
LEAD00214,CUST00155,2026-11-30,MagicBricks,,Godrej Riverine,New,5,Partial,EXEC26
LEAD00215,CUST00156,2024-09-28,LinkedIn,CAMP108,Godrej Riverine,Site Visit Scheduled,3,No,EXEC04
LEAD00216,CUST00157,2024-03-01,Referral,,Godrej Riverine,Qualified,8,Partial,EXEC25
LEAD00217,CUST00157,2024-05-17,99acres,,Godrej Riverine,Contacted,5,No,EXEC03
LEAD00218,CUST00158,2025-10-05,Referral,,Godrej Riverine,New,3,Yes,EXEC26
LEAD00219,CUST00159,2024-04-24,Facebook,CAMP139,Godrej Riverine,New,4,Partial,EXEC10
LEAD00220,CUST00160,2025-10-12,Newspaper Insert,CAMP150,Godrej Riverine,Qualified,6,No,EXEC07
LEAD00221,CUST00161,2026-10-09,Newspaper Insert,CAMP131,Godrej Riverine,Qualified,4,No,EXEC26
LEAD00222,CUST00162,2026-06-17,Google Ads,CAMP099,Godrej Riverine,New,5,Yes,EXEC12
LEAD00223,CUST00162,2026-12-31,Facebook,CAMP060,Godrej Riverine,Contacted,4,Partial,EXEC11
LEAD00224,CUST00163,2025-01-20,Google Search,,Godrej Riverine,Contacted,7,Partial,EXEC18
LEAD00225,CUST00164,2026-09-23,Newspaper Insert,CAMP112,Godrej Riverine,Not Interested / Lost,4,Yes,EXEC08
LEAD00226,CUST00165,2025-08-01,Referral,,Godrej Riverine,New,4,Partial,EXEC09
LEAD00227,CUST00166,2025-06-06,Metro Branding,CAMP073,Godrej Riverine,Qualified,3,Yes,EXEC26
LEAD00228,CUST00167,2025-11-10,Google Ads,CAMP121,Godrej Riverine,Contacted,4,Yes,EXEC17
LEAD00229,CUST00168,2025-02-09,Referral,,Godrej Riverine,Qualified,10,Partial,EXEC14
LEAD00230,CUST00169,2025-11-04,99acres,,Godrej Riverine,Contacted,6,Partial,EXEC20
LEAD00231,CUST00169,2026-07-24,Referral,,Godrej Riverine,Not Interested / Lost,3,No,EXEC14
LEAD00232,CUST00169,2026-12-31,Walk-In,,Godrej Riverine,Qualified,9,No,EXEC09
LEAD00233,CUST00170,2024-03-06,Referral,,Godrej Riverine,Qualified,3,Yes,EXEC07
LEAD00234,CUST00171,2024-08-17,Housing.com,,Godrej Riverine,Qualified,6,Yes,EXEC08
LEAD00235,CUST00172,2026-04-15,Google Search,,Godrej Riverine,Qualified,4,Partial,EXEC22
LEAD00236,CUST00172,2026-05-27,MagicBricks,,Godrej Riverine,Contacted,4,Partial,EXEC26
LEAD00237,CUST00173,2025-09-22,LinkedIn,CAMP045,Godrej Riverine,Site Visit Scheduled,7,Partial,EXEC28
LEAD00238,CUST00173,2026-01-11,Facebook,CAMP079,Godrej Riverine,Not Interested / Lost,6,Partial,EXEC07
LEAD00239,CUST00174,2024-06-30,Referral,,Godrej Riverine,Site Visit Scheduled,5,Yes,EXEC25
LEAD00240,CUST00174,2025-01-20,LinkedIn,CAMP035,Godrej Riverine,New,3,Partial,EXEC15
LEAD00241,CUST00174,2025-05-11,Channel Partner,,Godrej Riverine,Not Interested / Lost,3,Yes,EXEC27
LEAD00242,CUST00174,2025-11-07,Referral,,Godrej Riverine,Converted,8,Partial,EXEC10
LEAD00243,CUST00175,2024-01-24,Channel Partner,,Godrej Riverine,New,3,Yes,EXEC10
LEAD00244,CUST00176,2025-07-20,99acres,,Godrej Riverine,Contacted,5,Yes,EXEC05
LEAD00245,CUST00177,2026-09-05,Google Ads,CAMP024,Godrej Riverine,Contacted,6,No,EXEC08
LEAD00246,CUST00178,2025-01-30,Referral,,Godrej Riverine,Site Visit Scheduled,2,Yes,EXEC24
LEAD00247,CUST00179,2025-07-08,MagicBricks,,Godrej Riverine,New,4,Partial,EXEC13
LEAD00248,CUST00180,2025-01-23,Google Search,,Godrej Riverine,Contacted,9,Yes,EXEC17
LEAD00249,CUST00181,2026-07-20,99acres,,Godrej Riverine,New,7,No,EXEC11
