Survey_ID,Lead_ID,Trust_Score,FOMO_Score,Luxury_Score,Investment_Score,Price_Sensitivity,Transparency_Rating,Booking_Decision
SURV00081,LEAD00134,7,6,3,5,4,6,No
SURV00082,LEAD00137,6,5,2,5,6,7,Yes
SURV00083,LEAD00138,7,8,5,6,4,7,No
SURV00084,LEAD00140,8,5,3,4,6,10,No
SURV00085,LEAD00141,6,4,6,3,6,7,No
SURV00086,LEAD00141,5,5,2,3,6,3,No
SURV00087,LEAD00143,6,1,2,1,3,5,No
SURV00088,LEAD00143,8,2,5,5,6,9,No
SURV00089,LEAD00145,5,9,6,7,8,5,No
SURV00090,LEAD00145,10,8,7,9,8,10,Yes
SURV00091,LEAD00145,8,8,7,6,5,9,Yes
SURV00092,LEAD00147,5,4,3,2,7,5,No
SURV00093,LEAD00147,4,7,4,5,5,2,No
SURV00094,LEAD00149,6,6,4,2,6,5,No
SURV00095,LEAD00150,6,7,6,4,5,5,No
SURV00096,LEAD00150,8,8,3,3,6,8,No
SURV00097,LEAD00150,8,7,3,6,3,8,No
SURV00098,LEAD00151,10,6,5,6,5,10,Yes
SURV00099,LEAD00153,5,4,1,3,6,6,No
SURV00100,LEAD00157,8,7,2,10,6,10,Yes
SURV00101,LEAD00158,7,6,2,3,6,5,No
SURV00102,LEAD00160,10,6,5,4,5,9,Yes
SURV00103,LEAD00164,4,6,4,6,9,5,No
SURV00104,LEAD00165,9,6,1,6,7,10,Yes
SURV00105,LEAD00165,8,8,2,5,7,9,Yes
SURV00106,LEAD00165,9,8,1,4,7,9,Yes
SURV00107,LEAD00167,4,5,3,5,5,4,No
SURV00108,LEAD00168,8,8,6,8,4,6,No
SURV00109,LEAD00168,9,8,6,10,5,9,Yes
SURV00110,LEAD00172,8,6,2,7,7,9,No
SURV00111,LEAD00172,10,7,1,7,5,9,Yes
SURV00112,LEAD00178,10,7,3,2,8,10,No
SURV00113,LEAD00180,6,5,4,6,6,8,No
SURV00114,LEAD00183,6,4,4,2,4,4,No
SURV00115,LEAD00185,7,6,2,4,6,6,No
SURV00116,LEAD00186,5,3,2,4,5,5,No
SURV00117,LEAD00187,9,7,3,2,5,10,No
SURV00118,LEAD00187,7,6,4,5,7,7,No
SURV00119,LEAD00189,5,3,6,2,4,5,No
SURV00120,LEAD00191,8,4,3,5,6,7,Yes
SURV00121,LEAD00191,3,7,4,6,5,3,No
SURV00122,LEAD00194,6,6,1,5,5,5,No
SURV00123,LEAD00194,6,7,2,4,7,6,No
SURV00124,LEAD00194,8,8,2,4,5,8,No
SURV00125,LEAD00195,8,8,2,9,6,8,Yes
SURV00126,LEAD00196,5,5,5,1,5,7,No
SURV00127,LEAD00196,4,6,2,3,7,3,No
SURV00128,LEAD00200,5,8,3,8,5,6,No
SURV00129,LEAD00203,7,6,2,7,5,7,Yes
SURV00130,LEAD00204,6,6,2,4,6,6,No
SURV00131,LEAD00212,4,3,6,5,5,4,No
SURV00132,LEAD00215,6,5,5,4,6,8,No
SURV00133,LEAD00216,4,5,4,7,8,4,No
SURV00134,LEAD00220,6,6,3,6,7,7,No
SURV00135,LEAD00221,6,6,1,7,6,5,No
SURV00136,LEAD00227,5,6,3,5,3,4,No
SURV00137,LEAD00227,4,3,2,4,4,6,No
SURV00138,LEAD00229,8,7,3,3,6,7,No
SURV00139,LEAD00232,8,4,3,7,4,7,No
SURV00140,LEAD00232,8,7,1,9,7,8,No
SURV00141,LEAD00233,4,4,2,7,3,5,No
SURV00142,LEAD00234,6,4,2,5,6,5,No
SURV00143,LEAD00235,5,4,1,4,3,3,No
SURV00144,LEAD00237,5,6,2,7,7,6,No
SURV00145,LEAD00239,3,5,4,5,7,3,No
SURV00146,LEAD00239,7,8,6,2,4,6,No
SURV00147,LEAD00242,9,7,2,2,5,10,No
SURV00148,LEAD00242,9,8,4,3,5,9,Yes
SURV00149,LEAD00242,9,10,4,3,5,10,Yes
SURV00150,LEAD00246,6,5,4,4,4,6,No
SURV00151,LEAD00250,6,6,4,4,7,5,No
SURV00152,LEAD00251,5,5,3,4,6,6,No
SURV00153,LEAD00254,4,4,4,3,5,5,No
SURV00154,LEAD00256,7,10,3,2,5,7,Yes
SURV00155,LEAD00257,6,8,3,4,4,6,No
SURV00156,LEAD00262,5,3,3,2,4,7,Yes
SURV00157,LEAD00262,5,4,5,4,4,7,No
SURV00158,LEAD00262,6,5,2,4,4,8,No
SURV00159,LEAD00263,6,6,4,2,4,5,Yes
SURV00160,LEAD00263,5,5,5,5,7,6,No
SURV00161,LEAD00266,6,5,7,2,6,7,No
SURV00162,LEAD00267,5,4,7,2,5,4,No
SURV00163,LEAD00270,5,5,5,1,7,6,No
SURV00164,LEAD00272,9,5,3,3,5,9,Yes
SURV00165,LEAD00272,10,5,2,5,6,10,Yes
SURV00166,LEAD00272,9,8,5,4,10,9,No
SURV00167,LEAD00275,7,7,1,4,7,8,No
SURV00168,LEAD00278,7,6,2,4,5,7,No
SURV00169,LEAD00279,9,6,4,10,5,8,No
SURV00170,LEAD00279,7,8,2,9,3,6,No
SURV00171,LEAD00279,5,5,3,7,8,6,No
SURV00172,LEAD00280,4,7,6,5,5,5,No
SURV00173,LEAD00280,4,7,4,4,4,4,No
SURV00174,LEAD00280,6,8,6,2,4,7,No
SURV00175,LEAD00282,8,8,9,2,6,7,Yes
SURV00176,LEAD00284,8,8,4,2,4,8,Yes
SURV00177,LEAD00284,9,5,5,2,5,10,Yes
SURV00178,LEAD00285,4,5,4,5,7,3,No
SURV00179,LEAD00286,7,9,5,3,4,7,No
SURV00180,LEAD00286,6,7,7,4,4,6,No
SURV00181,LEAD00288,6,8,5,3,5,7,No
SURV00182,LEAD00289,7,5,2,3,5,8,No
SURV00183,LEAD00291,6,6,5,2,5,7,No
SURV00184,LEAD00294,9,5,3,7,6,9,No
SURV00185,LEAD00296,6,6,5,6,4,6,No
SURV00186,LEAD00296,6,7,3,8,4,7,No
SURV00187,LEAD00297,4,6,4,5,5,6,No
SURV00188,LEAD00297,5,7,3,8,7,5,No
SURV00189,LEAD00301,5,4,4,4,8,4,No
SURV00190,LEAD00302,9,6,4,4,3,8,Yes
SURV00191,LEAD00302,7,8,7,5,4,6,Yes
SURV00192,LEAD00306,5,5,7,2,5,4,No
SURV00193,LEAD00306,5,5,6,2,5,6,No
SURV00194,LEAD00306,8,4,8,1,5,8,No
SURV00195,LEAD00307,8,6,5,5,6,9,Yes
SURV00196,LEAD00308,6,6,3,2,6,6,No
SURV00197,LEAD00312,8,7,1,7,5,8,Yes
SURV00198,LEAD00314,3,6,3,7,9,4,No
SURV00199,LEAD00315,7,4,5,6,4,8,No
SURV00200,LEAD00315,7,5,6,7,5,7,No
SURV00201,LEAD00315,6,5,6,7,4,7,No
SURV00202,LEAD00317,7,10,6,3,6,6,No
SURV00203,LEAD00318,9,6,4,5,6,10,Yes
SURV00204,LEAD00321,7,6,2,4,5,6,No
SURV00205,LEAD00322,5,7,4,5,6,4,No
SURV00206,LEAD00324,9,5,5,2,6,9,Yes
SURV00207,LEAD00328,6,5,2,4,8,6,No
SURV00208,LEAD00328,8,5,1,8,6,9,No
SURV00209,LEAD00333,8,7,4,2,4,7,Yes
SURV00210,LEAD00333,7,7,2,4,7,7,No
SURV00211,LEAD00333,7,4,5,2,5,7,No
SURV00212,LEAD00339,6,7,7,3,6,4,Yes
SURV00213,LEAD00339,8,8,5,3,4,8,No
SURV00214,LEAD00339,7,7,4,2,6,8,No
SURV00215,LEAD00341,8,6,3,1,5,7,Yes
SURV00216,LEAD00348,5,7,4,4,3,4,No
SURV00217,LEAD00349,9,7,2,5,6,8,Yes
SURV00218,LEAD00349,10,8,3,7,4,10,No
SURV00219,LEAD00350,10,6,3,3,5,9,No
SURV00220,LEAD00350,6,8,5,4,7,7,No
SURV00221,LEAD00351,8,7,4,2,5,8,No
SURV00222,LEAD00352,6,5,2,2,8,6,No
SURV00223,LEAD00352,7,5,3,6,5,5,No
SURV00224,LEAD00354,7,7,2,1,7,8,No
SURV00225,LEAD00354,7,7,4,4,6,8,No
SURV00226,LEAD00358,8,7,3,8,6,7,No
SURV00227,LEAD00364,7,8,4,4,6,7,No
SURV00228,LEAD00365,8,4,4,4,5,7,No
SURV00229,LEAD00367,10,7,5,2,4,10,Yes
SURV00230,LEAD00367,9,9,4,2,5,10,Yes
SURV00231,LEAD00370,6,7,2,6,5,5,No
SURV00232,LEAD00371,7,6,6,3,4,6,No
SURV00233,LEAD00373,7,7,4,4,4,6,No
SURV00234,LEAD00373,6,5,2,4,5,6,No
SURV00235,LEAD00377,7,6,6,1,5,7,No
SURV00236,LEAD00381,3,4,3,6,7,3,No
SURV00237,LEAD00385,6,4,2,7,7,5,No
SURV00238,LEAD00385,6,2,3,5,7,5,No
SURV00239,LEAD00385,7,2,3,10,6,8,No
SURV00240,LEAD00388,8,6,4,5,6,9,No
SURV00241,LEAD00389,4,3,5,5,6,5,No
SURV00242,LEAD00391,5,3,3,9,5,7,No
SURV00243,LEAD00393,6,3,2,3,6,8,No
SURV00244,LEAD00394,6,5,5,3,8,7,No
SURV00245,LEAD00396,5,7,3,4,5,6,No
SURV00246,LEAD00397,6,7,3,2,8,6,No
SURV00247,LEAD00400,4,7,5,6,7,3,No
SURV00248,LEAD00407,4,5,4,4,6,5,No
SURV00249,LEAD00412,5,7,4,1,4,5,No
SURV00250,LEAD00413,7,10,5,6,3,7,No
SURV00251,LEAD00413,6,7,7,5,7,4,No
SURV00252,LEAD00415,4,4,5,3,7,3,No
SURV00253,LEAD00416,3,7,1,6,9,3,No
SURV00254,LEAD00417,5,4,2,4,6,6,No
SURV00255,LEAD00417,8,7,1,3,6,6,No
SURV00256,LEAD00417,6,6,3,6,6,7,No
SURV00257,LEAD00418,10,7,2,2,3,10,Yes
SURV00258,LEAD00418,8,5,2,2,7,9,No
SURV00259,LEAD00421,7,8,3,6,6,7,No
SURV00260,LEAD00422,8,8,5,6,5,7,Yes
SURV00261,LEAD00424,6,5,1,6,6,5,No
SURV00262,LEAD00430,9,6,2,4,5,8,No
SURV00263,LEAD00430,5,9,2,4,5,4,No
SURV00264,LEAD00430,4,8,2,5,7,4,No
SURV00265,LEAD00435,7,7,1,5,9,8,No
SURV00266,LEAD00438,6,8,2,7,6,5,No
SURV00267,LEAD00438,6,7,4,9,6,5,No
SURV00268,LEAD00440,8,9,2,8,6,8,No
SURV00269,LEAD00440,7,6,2,9,6,6,Yes
SURV00270,LEAD00441,6,8,4,4,7,7,Yes
SURV00271,LEAD00441,7,7,6,9,6,8,No
SURV00272,LEAD00441,7,8,3,8,5,7,Yes
SURV00273,LEAD00442,5,5,3,3,5,4,No
SURV00274,LEAD00442,7,6,2,4,6,7,No
SURV00275,LEAD00444,10,7,4,9,4,9,Yes
SURV00276,LEAD00450,6,7,3,3,8,8,No
SURV00277,LEAD00452,7,5,2,8,3,7,No
SURV00278,LEAD00452,7,7,4,10,4,8,No
SURV00279,LEAD00452,9,7,4,9,7,8,No
SURV00280,LEAD00454,6,7,3,1,5,6,No
SURV00281,LEAD00455,7,8,4,3,8,7,No
SURV00282,LEAD00456,6,7,1,4,7,6,Yes
SURV00283,LEAD00457,6,5,2,2,5,7,No
SURV00284,LEAD00461,7,1,4,8,5,8,No
SURV00285,LEAD00467,6,8,4,7,7,6,No
SURV00286,LEAD00469,7,5,4,7,5,8,No
SURV00287,LEAD00469,6,3,2,8,6,7,No
SURV00288,LEAD00473,8,7,6,2,7,7,No
SURV00289,LEAD00474,3,5,5,5,5,5,No
SURV00290,LEAD00480,8,6,5,6,4,8,No
SURV00291,LEAD00480,10,10,7,8,6,10,No
SURV00292,LEAD00480,8,6,5,9,6,7,No
SURV00293,LEAD00483,9,6,3,3,6,8,No
SURV00294,LEAD00484,7,7,4,9,4,6,No
SURV00295,LEAD00484,9,4,1,7,5,7,No
SURV00296,LEAD00485,4,6,6,7,8,4,No
SURV00297,LEAD00485,6,2,5,8,5,3,No
SURV00298,LEAD00486,5,5,3,3,5,5,No
SURV00299,LEAD00489,9,7,2,10,7,9,No
SURV00300,LEAD00492,5,6,3,7,5,5,No
SURV00301,LEAD00495,4,4,3,9,5,3,No
SURV00302,LEAD00500,6,5,2,3,6,5,No
SURV00303,LEAD00503,7,5,6,3,3,7,No
SURV00304,LEAD00504,6,6,4,4,6,5,No
SURV00305,LEAD00507,9,6,4,5,6,9,No
SURV00306,LEAD00512,5,5,6,9,5,4,No
SURV00307,LEAD00513,9,8,7,3,4,9,No
SURV00308,LEAD00513,7,5,7,2,5,7,No
SURV00309,LEAD00518,4,4,1,6,6,4,No
SURV00310,LEAD00518,6,6,4,5,7,7,No
SURV00311,LEAD00519,10,7,3,2,8,10,Yes
SURV00312,LEAD00519,9,8,3,2,6,9,Yes
SURV00313,LEAD00519,6,5,5,3,4,7,No
SURV00314,LEAD00520,7,5,5,9,6,7,No
SURV00315,LEAD00529,6,6,5,7,4,7,No
SURV00316,LEAD00529,7,4,5,8,3,7,No
SURV00317,LEAD00530,9,5,6,7,6,7,No
SURV00318,LEAD00531,7,6,5,6,5,7,No
SURV00319,LEAD00533,10,10,3,4,4,9,Yes
SURV00320,LEAD00535,6,7,4,9,3,4,No
SURV00321,LEAD00536,5,6,1,7,8,4,No
SURV00322,LEAD00540,7,6,1,5,6,8,No
SURV00323,LEAD00540,8,7,3,9,4,6,No
SURV00324,LEAD00541,6,5,2,9,7,7,No
SURV00325,LEAD00544,2,2,3,2,6,1,No
SURV00326,LEAD00551,7,6,6,8,5,6,No
SURV00327,LEAD00552,6,2,5,10,4,5,No
SURV00328,LEAD00553,7,5,3,7,7,5,No
SURV00329,LEAD00556,9,7,6,3,1,9,Yes
SURV00330,LEAD00556,9,8,4,5,3,10,Yes
SURV00331,LEAD00561,6,7,6,3,7,7,No
SURV00332,LEAD00564,8,6,4,2,7,9,Yes
SURV00333,LEAD00567,3,4,5,6,5,2,No
SURV00334,LEAD00568,8,6,3,10,5,9,Yes
SURV00335,LEAD00568,6,5,6,10,6,4,No
SURV00336,LEAD00569,8,10,1,3,6,6,Yes
SURV00337,LEAD00572,7,5,3,7,5,4,No
SURV00338,LEAD00574,9,6,2,6,6,8,Yes
SURV00339,LEAD00574,10,9,2,8,5,9,Yes
SURV00340,LEAD00574,8,8,5,8,5,9,Yes
SURV00341,LEAD00575,6,6,6,8,7,6,No
SURV00342,LEAD00577,6,7,4,6,7,6,No
SURV00343,LEAD00580,6,6,4,9,6,5,No
SURV00344,LEAD00586,6,5,4,8,4,6,No
SURV00345,LEAD00587,7,7,4,6,4,8,No
SURV00346,LEAD00587,6,7,2,6,3,6,Yes
SURV00347,LEAD00588,7,5,6,4,5,7,No
SURV00348,LEAD00588,7,4,6,3,5,8,No
SURV00349,LEAD00588,5,7,4,2,4,4,No
SURV00350,LEAD00589,8,9,4,3,5,8,Yes
SURV00351,LEAD00590,8,6,4,4,4,7,No
SURV00352,LEAD00591,5,5,4,7,5,6,No
SURV00353,LEAD00591,8,7,2,2,4,8,Yes
SURV00354,LEAD00592,4,7,4,4,7,6,No
SURV00355,LEAD00594,5,4,4,4,6,5,No
SURV00356,LEAD00597,6,4,1,4,4,7,Yes
SURV00357,LEAD00598,8,9,4,1,6,9,Yes
SURV00358,LEAD00599,8,3,7,1,5,8,No
SURV00359,LEAD00600,6,7,1,3,6,5,No
SURV00360,LEAD00601,7,7,1,5,6,9,No
SURV00361,LEAD00605,5,5,6,5,7,5,No
SURV00362,LEAD00607,7,5,3,5,6,8,No
SURV00363,LEAD00610,5,2,7,8,6,5,No
SURV00364,LEAD00616,9,3,4,5,3,7,No
SURV00365,LEAD00617,7,8,1,5,6,7,No
SURV00366,LEAD00622,5,5,5,2,7,5,No
SURV00367,LEAD00631,4,6,7,5,7,5,No
SURV00368,LEAD00631,4,2,4,5,6,4,No
SURV00369,LEAD00633,7,6,1,2,5,8,No
SURV00370,LEAD00637,6,9,8,4,4,6,No
SURV00371,LEAD00638,6,1,5,5,5,6,No
SURV00372,LEAD00639,6,3,4,2,7,6,No
SURV00373,LEAD00640,8,5,3,3,7,6,No
SURV00374,LEAD00642,8,5,5,5,6,8,No
SURV00375,LEAD00643,8,5,4,8,5,9,No
SURV00376,LEAD00644,7,5,1,6,7,8,No
SURV00377,LEAD00648,8,7,2,7,6,7,No
SURV00378,LEAD00650,7,4,3,3,3,6,No
SURV00379,LEAD00650,6,4,3,5,6,5,No
SURV00380,LEAD00651,7,6,4,8,4,6,No
SURV00381,LEAD00652,5,5,4,7,5,6,No
SURV00382,LEAD00654,7,5,3,2,3,8,No
SURV00383,LEAD00654,5,2,1,2,5,6,No
SURV00384,LEAD00654,8,6,5,2,6,7,No
SURV00385,LEAD00656,9,4,3,4,5,8,No
SURV00386,LEAD00656,8,6,4,5,6,8,No
SURV00387,LEAD00659,5,5,2,1,7,5,No
SURV00388,LEAD00664,8,7,5,9,5,7,No
SURV00389,LEAD00669,7,9,3,7,4,5,No
SURV00390,LEAD00669,8,6,5,6,5,10,No
SURV00391,LEAD00670,7,3,3,7,4,8,No
SURV00392,LEAD00671,7,6,1,8,6,7,No
SURV00393,LEAD00672,7,4,2,9,7,8,No
SURV00394,LEAD00673,6,5,2,1,4,7,No
SURV00395,LEAD00673,7,9,3,3,2,7,Yes
SURV00396,LEAD00675,6,4,3,4,5,7,No
SURV00397,LEAD00678,6,10,6,5,4,7,No
SURV00398,LEAD00679,8,6,5,4,4,7,No
SURV00399,LEAD00680,6,4,4,6,5,4,No
SURV00400,LEAD00680,6,5,5,6,4,6,No
SURV00401,LEAD00685,8,5,5,2,2,6,Yes
SURV00402,LEAD00685,6,5,5,7,6,7,No
SURV00403,LEAD00685,7,6,3,4,7,7,No
SURV00404,LEAD00688,7,7,2,5,8,6,Yes
SURV00405,LEAD00688,9,5,2,5,6,8,Yes
SURV00406,LEAD00689,7,5,4,3,5,8,No
SURV00407,LEAD00690,8,8,6,6,6,8,No
SURV00408,LEAD00690,7,7,5,5,5,7,No
SURV00409,LEAD00690,7,7,3,2,6,10,No
SURV00410,LEAD00693,8,6,2,7,4,7,Yes
SURV00411,LEAD00693,7,6,1,3,7,6,No
SURV00412,LEAD00695,7,4,4,2,6,7,No
SURV00413,LEAD00696,6,4,5,6,5,4,No
SURV00414,LEAD00699,6,7,5,8,9,6,No
SURV00415,LEAD00707,6,2,6,4,4,6,No
SURV00416,LEAD00707,6,6,5,3,4,6,Yes
SURV00417,LEAD00710,5,5,5,3,6,5,No
SURV00418,LEAD00711,8,3,3,3,5,8,No
SURV00419,LEAD00717,7,6,4,7,5,6,No
SURV00420,LEAD00718,10,4,3,3,6,9,No
SURV00421,LEAD00726,6,5,2,5,4,4,No
SURV00422,LEAD00728,6,7,2,5,7,7,No
SURV00423,LEAD00729,7,6,1,4,5,6,Yes
SURV00424,LEAD00731,8,4,4,6,6,8,No
SURV00425,LEAD00731,5,4,7,4,5,5,No
SURV00426,LEAD00732,5,5,4,4,7,6,No
SURV00427,LEAD00732,6,5,4,4,3,5,No
SURV00428,LEAD00733,5,7,6,5,6,5,No
SURV00429,LEAD00735,5,4,4,2,7,5,No
SURV00430,LEAD00737,10,5,3,2,5,10,Yes
SURV00431,LEAD00737,8,7,1,1,3,8,Yes
SURV00432,LEAD00738,6,4,4,8,5,5,No
SURV00433,LEAD00740,7,6,4,5,5,8,No
SURV00434,LEAD00740,4,4,3,1,5,3,No
SURV00435,LEAD00743,5,7,1,7,6,5,No
SURV00436,LEAD00745,8,6,1,3,7,9,Yes
SURV00437,LEAD00745,5,7,4,4,5,5,No
SURV00438,LEAD00745,10,7,4,4,7,8,Yes
SURV00439,LEAD00749,10,7,2,7,6,10,Yes
SURV00440,LEAD00749,9,9,2,8,8,8,Yes
SURV00441,LEAD00749,9,7,3,6,8,9,No
SURV00442,LEAD00750,5,5,4,5,9,6,No
SURV00443,LEAD00750,5,3,6,6,6,4,No
SURV00444,LEAD00751,7,4,2,7,6,9,No
SURV00445,LEAD00751,7,7,2,8,7,6,No
SURV00446,LEAD00754,6,4,4,1,6,5,No
SURV00447,LEAD00756,7,6,10,10,4,7,No
SURV00448,LEAD00757,10,6,6,6,4,10,Yes
SURV00449,LEAD00758,5,6,3,7,8,6,No
SURV00450,LEAD00761,7,4,1,1,6,6,No
SURV00451,LEAD00764,10,6,8,1,5,10,No
SURV00452,LEAD00764,10,4,8,1,3,10,Yes
SURV00453,LEAD00764,7,6,8,2,4,7,Yes
SURV00454,LEAD00770,6,6,3,2,6,5,No
SURV00455,LEAD00771,6,4,3,2,4,7,No
SURV00456,LEAD00771,7,4,5,3,5,8,No
SURV00457,LEAD00776,7,5,5,5,4,8,No
SURV00458,LEAD00777,7,7,4,8,8,7,Yes
SURV00459,LEAD00777,9,8,2,8,5,10,No
SURV00460,LEAD00777,9,5,1,8,4,10,No
SURV00461,LEAD00780,10,9,2,7,4,9,Yes
SURV00462,LEAD00785,9,6,6,5,6,7,No
SURV00463,LEAD00785,8,5,4,2,5,8,Yes
SURV00464,LEAD00785,7,4,5,3,5,8,No
SURV00465,LEAD00786,9,8,5,5,4,10,Yes
SURV00466,LEAD00786,10,7,4,8,4,10,Yes
SURV00467,LEAD00791,7,3,1,5,6,7,No
SURV00468,LEAD00791,8,4,4,4,6,8,No
SURV00469,LEAD00794,9,7,4,5,5,9,Yes
SURV00470,LEAD00794,10,6,4,6,7,10,Yes
SURV00471,LEAD00794,8,8,4,5,6,7,Yes
SURV00472,LEAD00795,7,10,3,9,5,6,No
SURV00473,LEAD00795,9,6,1,7,4,6,No
SURV00474,LEAD00795,8,5,3,6,4,8,No
SURV00475,LEAD00797,6,4,6,8,7,5,No
SURV00476,LEAD00797,10,5,3,8,4,9,No
SURV00477,LEAD00802,7,5,1,7,7,6,No
SURV00478,LEAD00804,9,9,2,2,4,7,Yes
SURV00479,LEAD00804,8,5,2,3,6,9,No
SURV00480,LEAD00805,9,7,5,2,4,10,Yes
SURV00481,LEAD00805,7,5,4,3,5,7,Yes
SURV00482,LEAD00805,9,5,1,2,5,8,No
SURV00483,LEAD00806,6,8,4,5,5,5,No
SURV00484,LEAD00807,8,4,3,5,7,9,No
SURV00485,LEAD00807,7,5,3,2,3,8,Yes
SURV00486,LEAD00808,4,3,4,4,6,4,No
SURV00487,LEAD00811,2,6,4,3,5,2,No
SURV00488,LEAD00815,5,6,5,8,3,4,No
SURV00489,LEAD00819,4,4,2,3,5,3,No
SURV00490,LEAD00821,5,7,4,8,7,4,No
SURV00491,LEAD00823,8,8,4,6,7,9,No
SURV00492,LEAD00823,7,4,4,7,8,8,No
SURV00493,LEAD00824,8,8,3,6,7,9,Yes
SURV00494,LEAD00825,10,4,8,4,3,8,Yes
SURV00495,LEAD00827,8,7,1,3,4,9,Yes
SURV00496,LEAD00827,9,8,5,3,5,9,Yes
SURV00497,LEAD00828,7,6,3,8,8,7,No
SURV00498,LEAD00829,7,5,2,3,7,6,No
SURV00499,LEAD00832,8,8,4,4,4,9,No
SURV00500,LEAD00832,7,10,3,6,6,7,Yes
SURV00501,LEAD00832,7,8,2,2,8,7,Yes
SURV00502,LEAD00834,6,7,3,2,8,7,No
SURV00503,LEAD00834,7,4,3,4,5,8,No
SURV00504,LEAD00834,6,4,5,2,7,6,No
