FollowUp_ID,Lead_ID,FollowUp_Date,Mode,Purpose,Outcome
FU000052,LEAD00024,2026-12-04,Call,Introduction,Neutral
FU000053,LEAD00024,2026-12-04,Call,Introduction,Neutral
FU000054,LEAD00024,2026-12-23,Loan Assistance,Loan Guidance,Interested
FU000055,LEAD00025,2026-12-03,WhatsApp,Introduction,Requested Callback
FU000056,LEAD00026,2026-10-23,WhatsApp,Introduction,Neutral
FU000057,LEAD00027,2026-12-31,Call,Introduction,Not Interested
FU000058,LEAD00028,2026-06-14,Email,Introduction,Interested
FU000059,LEAD00028,2026-06-26,Call,Payment Follow-up,Interested
FU000060,LEAD00028,2026-07-23,Call,Interest Check,Requested Callback
FU000061,LEAD00029,2026-11-15,Call,Introduction,Not Interested
FU000062,LEAD00030,2025-09-02,WhatsApp,Introduction,Neutral
FU000063,LEAD00030,2025-09-02,WhatsApp,Introduction,Neutral
FU000064,LEAD00030,2025-09-10,Payment Discussion,Payment Follow-up,Interested
FU000065,LEAD00031,2024-12-01,Call,Introduction,No Response
FU000066,LEAD00031,2024-12-10,WhatsApp,Re-engagement,Not Interested
FU000067,LEAD00032,2026-06-10,Meeting,Introduction,Requested Callback
FU000068,LEAD00032,2026-06-25,Email,Re-engagement,Not Interested
FU000069,LEAD00033,2026-03-16,WhatsApp,Introduction,Interested
FU000070,LEAD00033,2026-04-13,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU000071,LEAD00033,2026-05-02,Email,Payment Follow-up,Requested Callback
FU000072,LEAD00033,2026-05-17,Email,Document Collection,Not Interested
FU000073,LEAD00033,2026-06-03,Email,Loan Guidance,No Response
FU000074,LEAD00033,2026-06-03,Email,Loan Guidance,No Response
FU000075,LEAD00033,2026-06-29,WhatsApp,Re-engagement,Requested Callback
FU000076,LEAD00034,2025-09-26,Call,Introduction,Requested Callback
FU000077,LEAD00034,2025-10-18,Call,Price Negotiation,Neutral
FU000078,LEAD00034,2025-11-02,Meeting,Payment Follow-up,Requested Callback
FU000079,LEAD00034,2025-12-01,Call,Price Negotiation,Interested
FU000080,LEAD00035,2026-11-20,Call,Introduction,No Response
FU000081,LEAD00035,2026-12-10,WhatsApp,Loan Guidance,Interested
FU000082,LEAD00036,2025-12-27,Call,Introduction,No Response
FU000083,LEAD00037,2024-04-04,WhatsApp,Introduction,Not Interested
FU000084,LEAD00037,2024-04-04,WhatsApp,Introduction,Not Interested
FU000085,LEAD00037,2024-04-15,Loan Assistance,Loan Guidance,No Response
FU000086,LEAD00037,2024-05-11,Email,Loan Guidance,No Response
FU000087,LEAD00038,2025-05-17,Call,Introduction,Interested
FU000088,LEAD00038,2025-05-29,Site Visit Reminder,Site Visit Invitation,Interested
FU000089,LEAD00038,2025-06-17,Site Visit Reminder,Site Visit Invitation,Interested
FU000090,LEAD00038,2025-06-24,Call,Price Negotiation,No Response
FU000091,LEAD00038,2025-07-20,Call,Re-engagement,No Response
FU000092,LEAD00038,2025-08-07,Call,Document Collection,Interested
FU000093,LEAD00039,2024-07-23,Call,Introduction,Not Interested
FU000094,LEAD00039,2024-08-18,Email,Introduction,No Response
FU000095,LEAD00039,2024-08-28,Email,Re-engagement,Interested
FU000096,LEAD00039,2024-09-20,Call,Payment Follow-up,Requested Callback
FU000097,LEAD00040,2026-03-22,Email,Introduction,Not Interested
FU000098,LEAD00041,2025-02-15,Call,Introduction,Neutral
FU000099,LEAD00041,2025-03-14,WhatsApp,Introduction,Neutral
FU000100,LEAD00041,2025-03-14,WhatsApp,Introduction,Neutral
FU000101,LEAD00041,2025-03-21,Call,Interest Check,Interested
FU000102,LEAD00042,2025-11-20,Email,Introduction,Not Interested
FU000103,LEAD00043,2025-11-18,Call,Introduction,No Response
FU000104,LEAD00043,2025-11-22,WhatsApp,Document Collection,Interested
FU000105,LEAD00043,2025-11-29,Loan Assistance,Loan Guidance,Interested
FU000106,LEAD00043,2025-12-12,Payment Discussion,Payment Follow-up,Interested
FU000107,LEAD00044,2026-12-02,Call,Introduction,Neutral
FU000108,LEAD00044,2026-12-13,Email,Introduction,Interested
FU000109,LEAD00044,2026-12-31,Payment Discussion,Payment Follow-up,Interested
FU000110,LEAD00044,2026-12-31,Call,Booking Confirmation,Converted
FU000111,LEAD00044,2026-12-31,Payment Discussion,Payment Follow-up,Interested
FU000112,LEAD00045,2026-12-31,Call,Introduction,Not Interested
FU000113,LEAD00045,2026-12-31,Call,Introduction,Not Interested
FU000114,LEAD00046,2026-10-23,Payment Discussion,Payment Follow-up,Requested Callback
FU000115,LEAD00046,2026-11-05,WhatsApp,Interest Check,Interested
FU000116,LEAD00046,2026-11-11,Payment Discussion,Payment Follow-up,No Response
FU000117,LEAD00046,2026-11-18,WhatsApp,Loan Guidance,Not Interested
FU000118,LEAD00046,2026-11-25,Site Visit Reminder,Site Visit Invitation,Neutral
FU000119,LEAD00046,2026-12-01,Payment Discussion,Payment Follow-up,Interested
FU000120,LEAD00046,2026-12-12,Loan Assistance,Loan Guidance,Converted
FU000121,LEAD00047,2025-11-26,Site Visit Reminder,Site Visit Invitation,Neutral
FU000122,LEAD00047,2025-12-16,WhatsApp,Post-Visit Feedback,Requested Callback
FU000123,LEAD00047,2025-12-30,Meeting,Interest Check,Interested
FU000124,LEAD00047,2025-12-30,Meeting,Interest Check,Interested
FU000125,LEAD00047,2026-01-09,Meeting,Site Visit Invitation,Requested Callback
FU000126,LEAD00047,2026-01-24,WhatsApp,Price Negotiation,Interested
FU000127,LEAD00048,2026-04-15,WhatsApp,Introduction,Requested Callback
FU000128,LEAD00048,2026-05-03,Meeting,Loan Guidance,Neutral
FU000129,LEAD00049,2026-09-04,Payment Discussion,Payment Follow-up,Interested
FU000130,LEAD00049,2026-09-04,Payment Discussion,Payment Follow-up,Interested
FU000131,LEAD00049,2026-09-14,Email,Site Visit Invitation,Interested
FU000132,LEAD00049,2026-09-30,WhatsApp,Document Collection,Neutral
FU000133,LEAD00050,2026-10-21,WhatsApp,Introduction,No Response
FU000134,LEAD00050,2026-11-02,WhatsApp,Post-Visit Feedback,Not Interested
FU000135,LEAD00051,2026-09-30,Payment Discussion,Payment Follow-up,Neutral
FU000136,LEAD00051,2026-10-24,Call,Site Visit Invitation,Not Interested
FU000137,LEAD00052,2026-05-24,WhatsApp,Introduction,No Response
FU000138,LEAD00052,2026-06-06,Payment Discussion,Payment Follow-up,No Response
FU000139,LEAD00052,2026-06-29,WhatsApp,Price Negotiation,Neutral
FU000140,LEAD00052,2026-07-27,Email,Payment Follow-up,Requested Callback
FU000141,LEAD00053,2024-03-22,Payment Discussion,Payment Follow-up,Neutral
FU000142,LEAD00053,2024-03-22,Payment Discussion,Payment Follow-up,Neutral
FU000143,LEAD00054,2024-01-09,Meeting,Introduction,Interested
FU000144,LEAD00054,2024-01-14,Call,Payment Follow-up,Interested
FU000145,LEAD00054,2024-01-14,Call,Payment Follow-up,Interested
FU000146,LEAD00054,2024-01-30,Call,Interest Check,Neutral
FU000147,LEAD00054,2024-02-03,Call,Booking Confirmation,Converted
FU000148,LEAD00055,2025-11-17,WhatsApp,Introduction,No Response
FU000149,LEAD00055,2025-11-25,Email,Introduction,Neutral
FU000150,LEAD00055,2025-12-19,Email,Post-Visit Feedback,Requested Callback
FU000151,LEAD00056,2025-06-08,WhatsApp,Introduction,No Response
FU000152,LEAD00056,2025-06-21,Loan Assistance,Loan Guidance,No Response
FU000153,LEAD00056,2025-07-12,Call,Price Negotiation,No Response
FU000154,LEAD00057,2025-10-12,Call,Introduction,No Response
FU000155,LEAD00057,2025-10-16,WhatsApp,Price Negotiation,No Response
FU000156,LEAD00057,2025-10-27,Call,Booking Confirmation,Interested
FU000157,LEAD00057,2025-11-14,Meeting,Price Negotiation,Neutral
FU000158,LEAD00057,2025-12-03,Loan Assistance,Loan Guidance,Not Interested
FU000159,LEAD00058,2026-06-23,Call,Introduction,Not Interested
FU000160,LEAD00059,2024-12-23,WhatsApp,Introduction,Not Interested
FU000161,LEAD00059,2025-01-09,WhatsApp,Loan Guidance,Interested
FU000162,LEAD00059,2025-01-18,Meeting,Introduction,Requested Callback
FU000163,LEAD00059,2025-01-26,Call,Post-Visit Feedback,Requested Callback
FU000164,LEAD00060,2026-08-27,Payment Discussion,Payment Follow-up,Not Interested
FU000165,LEAD00061,2024-07-08,Call,Introduction,Requested Callback
FU000166,LEAD00061,2024-08-05,Call,Site Visit Invitation,Interested
FU000167,LEAD00061,2024-08-10,Call,Site Visit Invitation,No Response
FU000168,LEAD00062,2026-01-30,Email,Introduction,Requested Callback
FU000169,LEAD00062,2026-02-15,WhatsApp,Introduction,Neutral
FU000170,LEAD00063,2025-05-26,WhatsApp,Introduction,Not Interested
FU000171,LEAD00063,2025-06-10,WhatsApp,Interest Check,Requested Callback
FU000172,LEAD00064,2025-04-07,Call,Introduction,Neutral
FU000173,LEAD00064,2025-04-27,Site Visit Reminder,Site Visit Invitation,Interested
FU000174,LEAD00065,2026-09-09,Site Visit Reminder,Site Visit Invitation,Not Interested
FU000175,LEAD00065,2026-09-25,Call,Site Visit Invitation,Requested Callback
FU000176,LEAD00066,2026-12-31,Site Visit Reminder,Site Visit Invitation,Not Interested
FU000177,LEAD00067,2026-12-31,Site Visit Reminder,Site Visit Invitation,Interested
FU000178,LEAD00068,2026-12-31,Call,Introduction,Interested
FU000179,LEAD00069,2025-04-16,WhatsApp,Introduction,Not Interested
FU000180,LEAD00069,2025-04-25,WhatsApp,Re-engagement,Requested Callback
FU000181,LEAD00069,2025-05-01,Call,Site Visit Invitation,Not Interested
FU000182,LEAD00070,2024-07-11,WhatsApp,Introduction,No Response
FU000183,LEAD00070,2024-08-07,Email,Price Negotiation,Neutral
FU000184,LEAD00071,2025-01-27,Meeting,Introduction,No Response
FU000185,LEAD00071,2025-01-27,Meeting,Introduction,No Response
FU000186,LEAD00071,2025-02-22,WhatsApp,Re-engagement,Neutral
FU000187,LEAD00071,2025-02-22,WhatsApp,Re-engagement,Neutral
FU000188,LEAD00071,2025-03-21,Meeting,Interest Check,Requested Callback
FU000189,LEAD00071,2025-04-04,Call,Site Visit Invitation,Neutral
FU000190,LEAD00071,2025-04-24,Email,Booking Confirmation,No Response
FU000191,LEAD00072,2026-07-25,Call,Introduction,Not Interested
FU000192,LEAD00073,2025-02-08,Site Visit Reminder,Site Visit Invitation,Interested
FU000193,LEAD00073,2025-03-03,Payment Discussion,Payment Follow-up,Neutral
FU000194,LEAD00074,2025-03-22,Call,Introduction,Neutral
FU000195,LEAD00074,2025-04-18,Call,Document Collection,No Response
FU000196,LEAD00075,2024-05-21,Call,Introduction,Not Interested
FU000197,LEAD00075,2024-05-21,Call,Introduction,Not Interested
FU000198,LEAD00076,2024-09-11,Call,Introduction,Interested
FU000199,LEAD00076,2024-09-25,Site Visit Reminder,Site Visit Invitation,Neutral
FU000200,LEAD00076,2024-10-18,Call,Introduction,Neutral
FU000201,LEAD00076,2024-11-01,Email,Price Negotiation,Interested
FU000202,LEAD00076,2024-11-29,Email,Price Negotiation,Interested
FU000203,LEAD00077,2024-06-30,WhatsApp,Introduction,No Response
FU000204,LEAD00077,2024-07-18,WhatsApp,Site Visit Invitation,Not Interested
FU000205,LEAD00078,2024-07-26,Payment Discussion,Payment Follow-up,Converted
FU000206,LEAD00079,2025-05-03,Site Visit Reminder,Site Visit Invitation,No Response
FU000207,LEAD00079,2025-06-01,Call,Post-Visit Feedback,Interested
FU000208,LEAD00079,2025-06-16,Email,Re-engagement,Not Interested
FU000209,LEAD00080,2026-10-11,Payment Discussion,Payment Follow-up,Requested Callback
FU000210,LEAD00081,2026-12-31,Site Visit Reminder,Site Visit Invitation,No Response
FU000211,LEAD00081,2026-12-31,WhatsApp,Interest Check,Interested
FU000212,LEAD00081,2026-12-31,Call,Payment Follow-up,Not Interested
FU000213,LEAD00081,2026-12-31,Email,Introduction,Requested Callback
FU000214,LEAD00081,2026-12-31,Call,Re-engagement,Requested Callback
FU000215,LEAD00081,2026-12-31,WhatsApp,Re-engagement,Requested Callback
FU000216,LEAD00081,2026-12-31,Meeting,Booking Confirmation,Requested Callback
FU000217,LEAD00081,2026-12-31,Payment Discussion,Payment Follow-up,Interested
FU000218,LEAD00081,2026-12-31,Call,Booking Confirmation,Converted
FU000219,LEAD00082,2026-12-08,Call,Introduction,Not Interested
FU000220,LEAD00083,2024-10-01,Meeting,Introduction,Neutral
FU000221,LEAD00083,2024-10-20,Call,Site Visit Invitation,Interested
FU000222,LEAD00083,2024-10-30,Loan Assistance,Loan Guidance,Interested
FU000223,LEAD00083,2024-11-20,WhatsApp,Re-engagement,Neutral
FU000224,LEAD00083,2024-11-20,WhatsApp,Re-engagement,Neutral
FU000225,LEAD00083,2024-11-25,Email,Re-engagement,Neutral
FU000226,LEAD00084,2024-09-17,WhatsApp,Introduction,Requested Callback
FU000227,LEAD00085,2024-10-12,WhatsApp,Introduction,Not Interested
FU000228,LEAD00086,2026-01-26,Meeting,Introduction,Not Interested
FU000229,LEAD00087,2024-07-21,WhatsApp,Introduction,Neutral
FU000230,LEAD00087,2024-08-12,Meeting,Loan Guidance,Requested Callback
FU000231,LEAD00087,2024-09-03,Site Visit Reminder,Site Visit Invitation,Neutral
FU000232,LEAD00088,2025-02-01,Call,Introduction,Not Interested
FU000233,LEAD00088,2025-02-21,Call,Site Visit Invitation,Not Interested
FU000234,LEAD00089,2024-10-23,Loan Assistance,Loan Guidance,Neutral
FU000235,LEAD00089,2024-11-05,WhatsApp,Introduction,Interested
FU000236,LEAD00089,2024-11-19,WhatsApp,Price Negotiation,Interested
FU000237,LEAD00089,2024-11-26,Call,Document Collection,Requested Callback
FU000238,LEAD00090,2026-12-30,Email,Introduction,Not Interested
FU000239,LEAD00091,2024-11-21,Meeting,Introduction,Requested Callback
FU000240,LEAD00091,2024-11-21,Meeting,Introduction,Requested Callback
FU000241,LEAD00091,2024-11-30,Payment Discussion,Payment Follow-up,Converted
FU000242,LEAD00091,2024-11-30,Payment Discussion,Payment Follow-up,Converted
FU000243,LEAD00092,2025-04-10,Call,Introduction,Neutral
FU000244,LEAD00093,2025-06-03,Site Visit Reminder,Site Visit Invitation,Interested
FU000245,LEAD00094,2025-10-07,Site Visit Reminder,Site Visit Invitation,Neutral
FU000246,LEAD00094,2025-10-20,WhatsApp,Payment Follow-up,Interested
FU000247,LEAD00094,2025-11-03,WhatsApp,Introduction,Interested
FU000248,LEAD00094,2025-11-10,Meeting,Booking Confirmation,Requested Callback
FU000249,LEAD00094,2025-11-29,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU000250,LEAD00095,2026-01-16,Email,Introduction,No Response
FU000251,LEAD00095,2026-02-03,Email,Payment Follow-up,Neutral
FU000252,LEAD00096,2026-05-21,Meeting,Introduction,No Response
FU000253,LEAD00097,2026-12-31,WhatsApp,Introduction,Neutral
FU000254,LEAD00097,2026-12-31,WhatsApp,Introduction,Neutral
FU000255,LEAD00098,2026-02-05,Call,Introduction,Requested Callback
FU000256,LEAD00098,2026-02-22,WhatsApp,Interest Check,No Response
FU000257,LEAD00099,2024-08-12,Call,Introduction,Neutral
FU000258,LEAD00100,2024-11-28,WhatsApp,Introduction,Not Interested
FU000259,LEAD00100,2024-12-04,Call,Site Visit Invitation,Not Interested
FU000260,LEAD00101,2025-10-24,Call,Introduction,Neutral
FU000261,LEAD00101,2025-11-03,WhatsApp,Loan Guidance,Interested
FU000262,LEAD00101,2025-11-09,Email,Site Visit Invitation,Interested
FU000263,LEAD00101,2025-11-25,Email,Loan Guidance,Neutral
FU000264,LEAD00101,2025-12-09,Meeting,Site Visit Invitation,Neutral
FU000265,LEAD00101,2025-12-09,Meeting,Site Visit Invitation,Neutral
FU000266,LEAD00101,2025-12-20,Call,Price Negotiation,Neutral
FU000267,LEAD00101,2026-01-05,Call,Document Collection,Interested
FU000268,LEAD00101,2026-01-12,Loan Assistance,Loan Guidance,Not Interested
FU000269,LEAD00101,2026-01-21,Loan Assistance,Loan Guidance,Converted
FU000270,LEAD00102,2026-06-05,Payment Discussion,Payment Follow-up,No Response
FU000271,LEAD00102,2026-06-16,WhatsApp,Interest Check,Interested
FU000272,LEAD00102,2026-07-15,WhatsApp,Interest Check,Interested
FU000273,LEAD00102,2026-08-10,Site Visit Reminder,Site Visit Invitation,Neutral
FU000274,LEAD00102,2026-08-15,Call,Interest Check,Neutral
FU000275,LEAD00102,2026-08-22,Call,Price Negotiation,Requested Callback
FU000276,LEAD00103,2026-06-01,Meeting,Introduction,Neutral
FU000277,LEAD00104,2026-10-13,Call,Introduction,Requested Callback
FU000278,LEAD00104,2026-11-01,Meeting,Price Negotiation,Interested
FU000279,LEAD00104,2026-11-19,Call,Price Negotiation,Requested Callback
FU000280,LEAD00104,2026-11-27,Email,Booking Confirmation,Requested Callback
FU000281,LEAD00104,2026-12-05,WhatsApp,Price Negotiation,Requested Callback
FU000282,LEAD00104,2026-12-13,Payment Discussion,Payment Follow-up,Neutral
FU000283,LEAD00104,2026-12-20,Payment Discussion,Payment Follow-up,Neutral
FU000284,LEAD00105,2025-03-28,Site Visit Reminder,Site Visit Invitation,Neutral
FU000285,LEAD00105,2025-04-12,Call,Document Collection,Requested Callback
FU000286,LEAD00105,2025-05-04,Email,Site Visit Invitation,Interested
FU000287,LEAD00105,2025-05-04,Email,Site Visit Invitation,Interested
FU000288,LEAD00106,2025-10-17,WhatsApp,Introduction,Not Interested
FU000289,LEAD00106,2025-11-01,Call,Price Negotiation,No Response
FU000290,LEAD00106,2025-11-12,Call,Booking Confirmation,Converted
FU000291,LEAD00107,2026-01-12,Call,Introduction,No Response
FU000292,LEAD00107,2026-02-05,Call,Site Visit Invitation,Requested Callback
FU000293,LEAD00107,2026-03-06,Loan Assistance,Loan Guidance,Neutral
FU000294,LEAD00108,2024-09-11,Meeting,Introduction,Interested
FU000295,LEAD00108,2024-09-29,Site Visit Reminder,Site Visit Invitation,No Response
FU000296,LEAD00108,2024-09-29,Site Visit Reminder,Site Visit Invitation,No Response
FU000297,LEAD00108,2024-10-11,Email,Loan Guidance,No Response
FU000298,LEAD00108,2024-10-27,Email,Document Collection,No Response
FU000299,LEAD00108,2024-10-27,Email,Document Collection,No Response
FU000300,LEAD00108,2024-11-04,Call,Booking Confirmation,No Response
FU000301,LEAD00108,2024-11-04,Call,Booking Confirmation,No Response
FU000302,LEAD00108,2024-11-20,Site Visit Reminder,Site Visit Invitation,Interested
FU000303,LEAD00108,2024-12-02,Payment Discussion,Payment Follow-up,Requested Callback
FU000304,LEAD00108,2024-12-11,Meeting,Booking Confirmation,Converted
FU000305,LEAD00109,2026-06-17,WhatsApp,Introduction,Interested
FU000306,LEAD00109,2026-06-27,WhatsApp,Payment Follow-up,Requested Callback
FU000307,LEAD00109,2026-07-09,WhatsApp,Re-engagement,Neutral
FU000308,LEAD00109,2026-07-16,Email,Document Collection,Requested Callback
FU000309,LEAD00109,2026-08-04,WhatsApp,Price Negotiation,Interested
FU000310,LEAD00110,2024-06-05,Call,Introduction,No Response
FU000311,LEAD00110,2024-06-16,WhatsApp,Price Negotiation,No Response
FU000312,LEAD00110,2024-06-26,Payment Discussion,Payment Follow-up,Interested
FU000313,LEAD00110,2024-07-12,Email,Price Negotiation,Not Interested
FU000314,LEAD00110,2024-07-16,Call,Price Negotiation,Interested
FU000315,LEAD00110,2024-07-16,Call,Price Negotiation,Interested
FU000316,LEAD00110,2024-07-22,Call,Price Negotiation,Interested
FU000317,LEAD00110,2024-07-31,Call,Document Collection,Interested
FU000318,LEAD00110,2024-07-31,Call,Document Collection,Interested
FU000319,LEAD00111,2026-09-08,Call,Introduction,Not Interested
FU000320,LEAD00111,2026-09-08,Call,Introduction,Not Interested
FU000321,LEAD00111,2026-09-29,Email,Site Visit Invitation,Not Interested
FU000322,LEAD00112,2024-11-18,Meeting,Introduction,Interested
FU000323,LEAD00112,2024-12-04,Site Visit Reminder,Site Visit Invitation,Interested
FU000324,LEAD00112,2024-12-30,Payment Discussion,Payment Follow-up,Requested Callback
FU000325,LEAD00113,2026-12-09,Call,Introduction,Neutral
FU000326,LEAD00113,2026-12-09,Call,Introduction,Neutral
FU000327,LEAD00113,2026-12-21,Call,Interest Check,Requested Callback
FU000328,LEAD00113,2026-12-31,Payment Discussion,Payment Follow-up,Converted
FU000329,LEAD00114,2025-08-30,Call,Introduction,Requested Callback
FU000330,LEAD00115,2026-08-22,WhatsApp,Introduction,Interested
FU000331,LEAD00115,2026-09-17,Call,Document Collection,Interested
FU000332,LEAD00115,2026-10-06,Call,Re-engagement,No Response
FU000333,LEAD00115,2026-10-13,Payment Discussion,Payment Follow-up,No Response
FU000334,LEAD00116,2026-12-31,Call,Introduction,Not Interested
FU000335,LEAD00117,2026-12-31,Payment Discussion,Payment Follow-up,Not Interested
FU000336,LEAD00118,2024-05-28,Call,Introduction,Neutral
FU000337,LEAD00118,2024-06-02,Call,Document Collection,Neutral
FU000338,LEAD00118,2024-06-23,Email,Site Visit Invitation,No Response
FU000339,LEAD00118,2024-07-04,Site Visit Reminder,Site Visit Invitation,Interested
FU000340,LEAD00118,2024-07-19,Call,Interest Check,Interested
FU000341,LEAD00118,2024-08-08,Email,Re-engagement,Not Interested
FU000342,LEAD00118,2024-08-22,Call,Payment Follow-up,Neutral
FU000343,LEAD00118,2024-08-22,Call,Payment Follow-up,Neutral
FU000344,LEAD00119,2024-09-18,Call,Introduction,Neutral
FU000345,LEAD00119,2024-10-05,Payment Discussion,Payment Follow-up,Interested
FU000346,LEAD00119,2024-10-09,Loan Assistance,Loan Guidance,Neutral
FU000347,LEAD00120,2024-10-14,Payment Discussion,Payment Follow-up,Requested Callback
FU000348,LEAD00120,2024-11-08,Email,Re-engagement,Neutral
FU000349,LEAD00121,2024-12-26,Call,Introduction,Neutral
FU000350,LEAD00121,2025-01-21,WhatsApp,Introduction,Not Interested
FU000351,LEAD00122,2025-11-19,Payment Discussion,Payment Follow-up,No Response
FU000352,LEAD00123,2026-02-20,WhatsApp,Introduction,Interested
FU000353,LEAD00123,2026-03-17,Call,Re-engagement,Requested Callback
FU000354,LEAD00124,2026-03-29,Meeting,Introduction,Not Interested
FU000355,LEAD00124,2026-03-29,Meeting,Introduction,Not Interested
FU000356,LEAD00125,2026-07-12,Call,Introduction,Not Interested
FU000357,LEAD00125,2026-07-17,WhatsApp,Site Visit Invitation,No Response
FU000358,LEAD00125,2026-07-28,Call,Payment Follow-up,Requested Callback
FU000359,LEAD00125,2026-07-28,Call,Payment Follow-up,Requested Callback
FU000360,LEAD00125,2026-08-23,Meeting,Re-engagement,Interested
FU000361,LEAD00125,2026-08-23,Meeting,Re-engagement,Interested
FU000362,LEAD00126,2026-05-09,Email,Introduction,Not Interested
FU000363,LEAD00127,2026-04-10,Email,Introduction,Interested
FU000364,LEAD00128,2025-03-05,WhatsApp,Introduction,Requested Callback
FU000365,LEAD00128,2025-03-19,Meeting,Booking Confirmation,Requested Callback
FU000366,LEAD00128,2025-03-28,Site Visit Reminder,Site Visit Invitation,Interested
FU000367,LEAD00128,2025-04-11,Email,Document Collection,No Response
FU000368,LEAD00128,2025-04-28,WhatsApp,Introduction,No Response
FU000369,LEAD00128,2025-05-15,Call,Re-engagement,Requested Callback
FU000370,LEAD00128,2025-05-29,Loan Assistance,Loan Guidance,Converted
FU000371,LEAD00129,2026-07-07,Call,Introduction,Interested
FU000372,LEAD00130,2026-11-03,WhatsApp,Introduction,Neutral
FU000373,LEAD00130,2026-11-16,Site Visit Reminder,Site Visit Invitation,No Response
FU000374,LEAD00130,2026-11-29,Site Visit Reminder,Site Visit Invitation,No Response
FU000375,LEAD00130,2026-12-11,Call,Post-Visit Feedback,Not Interested
FU000376,LEAD00131,2025-05-17,Site Visit Reminder,Site Visit Invitation,Not Interested
FU000377,LEAD00131,2025-05-24,WhatsApp,Re-engagement,Not Interested
FU000378,LEAD00132,2024-03-24,Call,Introduction,Neutral
FU000379,LEAD00132,2024-03-24,Call,Introduction,Neutral
FU000380,LEAD00133,2024-08-23,Email,Introduction,Not Interested
